local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Universidad de Chile,13.0,4.0,12.0,44.6,10.0,3.0,0.0,2.0,1.0,2.0,Palestino,6.0,2.0,3.0,55.4,18.0,3.0,0.0,0.0,3.0,1.0,587873,2021-01-14 22:15:00,2021
Unión Española,14.0,2.0,4.0,59.5,20.0,2.0,0.0,1.0,5.0,7.0,Universidad Católica,16.0,7.0,3.0,40.5,7.0,1.0,2.0,1.0,1.0,6.0,587871,2021-01-15 00:30:00,2021
Cobresal,15.0,3.0,1.0,55.7,15.0,4.0,0.0,2.0,2.0,0.0,Antofagasta,14.0,3.0,5.0,44.3,11.0,1.0,0.0,0.0,0.0,4.0,587869,2021-01-15 13:30:00,2021
La Serena,18.0,6.0,11.0,63.9,15.0,2.0,0.0,2.0,1.0,2.0,Unión La Calera,9.0,4.0,5.0,36.1,11.0,1.0,1.0,2.0,6.0,2.0,587874,2021-01-15 20:00:00,2021
Curicó Unido,13.0,3.0,4.0,45.8,16.0,0.0,0.0,0.0,1.0,3.0,O'Higgins,8.0,4.0,5.0,54.2,16.0,2.0,0.0,3.0,2.0,2.0,587868,2021-01-15 22:15:00,2021
Huachipato,16.0,7.0,5.0,46.2,14.0,0.0,0.0,2.0,2.0,3.0,Unión Wanderers,,,,,,,,,,,587870,2021-01-16 00:30:00,2021
Colo Colo,11.0,2.0,7.0,49.8,19.0,2.0,0.0,2.0,2.0,4.0,Universidad de Chile,11.0,2.0,4.0,50.2,16.0,3.0,0.0,2.0,2.0,4.0,587876,2021-01-17 21:00:00,2021
Palestino,19.0,8.0,4.0,54.1,8.0,1.0,0.0,2.0,3.0,6.0,Cobresal,13.0,5.0,4.0,45.9,15.0,2.0,0.0,2.0,5.0,3.0,587881,2021-01-18 13:30:00,2021
Unión Wanderers,,,,,,,,,,,La Serena,12.0,3.0,5.0,57.6,9.0,3.0,0.0,4.0,8.0,0.0,587882,2021-01-18 20:00:00,2021
Audax Italiano,14.0,6.0,7.0,37.9,10.0,1.0,1.0,5.0,4.0,3.0,Unión La Calera,16.0,7.0,4.0,62.1,8.0,1.0,0.0,0.0,5.0,4.0,587877,2021-01-18 22:15:00,2021
Antofagasta,9.0,6.0,3.0,46.0,13.0,3.0,0.0,4.0,4.0,0.0,Deportes Iquique,11.0,5.0,7.0,54.0,11.0,2.0,0.0,2.0,3.0,1.0,587878,2021-01-19 13:30:00,2021
Huachipato,12.0,6.0,2.0,41.9,13.0,2.0,0.0,5.0,5.0,2.0,Unión Española,18.0,6.0,2.0,58.1,10.0,3.0,0.0,0.0,2.0,4.0,587883,2021-01-19 20:00:00,2021
Universidad Católica,7.0,4.0,9.0,58.2,11.0,2.0,0.0,0.0,0.0,1.0,Everton CD,5.0,1.0,6.0,41.8,13.0,2.0,0.0,3.0,3.0,4.0,587879,2021-01-19 22:15:00,2021
O'Higgins,8.0,2.0,3.0,50.4,13.0,3.0,0.0,3.0,3.0,2.0,Universidad de Concepción,11.0,3.0,3.0,49.6,12.0,2.0,0.0,0.0,2.0,4.0,587880,2021-01-20 00:30:00,2021
Coquimbo Unido,8.0,1.0,3.0,45.0,16.0,2.0,0.0,1.0,3.0,2.0,Curicó Unido,11.0,3.0,6.0,55.0,16.0,3.0,0.0,3.0,1.0,1.0,587875,2021-01-21 00:30:00,2021
Colo Colo,12.0,5.0,7.0,45.1,12.0,4.0,0.0,0.0,2.0,1.0,Coquimbo Unido,7.0,3.0,1.0,54.9,13.0,4.0,0.0,2.0,3.0,1.0,587820,2021-01-23 21:00:00,2021
Cobresal,13.0,5.0,4.0,52.9,11.0,2.0,0.0,0.0,5.0,3.0,Unión La Calera,10.0,6.0,5.0,47.1,9.0,2.0,0.0,0.0,4.0,1.0,587813,2021-01-23 23:30:00,2021
La Serena,7.0,3.0,3.0,59.1,12.0,2.0,0.0,6.0,0.0,1.0,Curicó Unido,2.0,0.0,2.0,40.9,15.0,3.0,0.0,0.0,1.0,0.0,587834,2021-01-24 20:00:00,2021
Universidad de Chile,14.0,8.0,4.0,50.8,9.0,5.0,0.0,2.0,3.0,0.0,Deportes Iquique,14.0,6.0,7.0,49.2,12.0,3.0,0.0,1.0,6.0,4.0,587811,2021-01-24 22:15:00,2021
Universidad Católica,20.0,4.0,7.0,66.4,16.0,1.0,1.0,1.0,2.0,5.0,Palestino,8.0,5.0,2.0,33.6,21.0,3.0,1.0,2.0,3.0,1.0,587807,2021-01-25 23:00:00,2021
Unión Española,18.0,3.0,5.0,75.2,8.0,1.0,0.0,0.0,1.0,4.0,Coquimbo Unido,6.0,2.0,0.0,24.8,15.0,1.0,0.0,0.0,2.0,1.0,587853,2021-01-26 23:00:00,2021
Unión La Calera,15.0,5.0,8.0,58.4,9.0,2.0,0.0,2.0,5.0,5.0,Deportes Iquique,15.0,7.0,8.0,41.6,6.0,0.0,1.0,3.0,4.0,1.0,587825,2021-01-28 23:00:00,2021
Coquimbo Unido,9.0,2.0,2.0,39.5,15.0,4.0,0.0,2.0,2.0,2.0,Universidad de Chile,14.0,4.0,6.0,60.5,17.0,3.0,0.0,1.0,2.0,3.0,587860,2021-01-29 22:00:00,2021
O'Higgins,13.0,7.0,6.0,49.1,11.0,2.0,0.0,3.0,3.0,0.0,Universidad Católica,8.0,3.0,4.0,50.9,6.0,0.0,0.0,2.0,5.0,3.0,587815,2021-01-30 22:00:00,2021
Colo Colo,11.0,4.0,4.0,41.7,18.0,2.0,0.0,3.0,2.0,0.0,Unión La Calera,10.0,3.0,5.0,58.3,21.0,0.0,0.0,1.0,2.0,3.0,587831,2021-01-31 21:30:00,2021
Curicó Unido,13.0,5.0,2.0,53.6,12.0,2.0,0.0,1.0,5.0,2.0,Unión Española,17.0,9.0,3.0,46.4,9.0,4.0,0.0,0.0,3.0,2.0,587827,2021-02-01 00:00:00,2021
Deportes Iquique,12.0,3.0,8.0,53.0,15.0,1.0,0.0,1.0,2.0,4.0,Coquimbo Unido,17.0,4.0,8.0,47.0,9.0,2.0,0.0,2.0,1.0,2.0,587867,2021-02-02 00:00:00,2021
Coquimbo Unido,10.0,1.0,5.0,44.3,19.0,0.0,0.0,3.0,2.0,3.0,Cobresal,10.0,3.0,1.0,55.7,12.0,1.0,0.0,4.0,1.0,2.0,587841,2021-02-04 23:00:00,2021
La Serena,5.0,2.0,0.0,56.0,19.0,2.0,0.0,1.0,3.0,2.0,Universidad Católica,14.0,5.0,5.0,44.0,14.0,2.0,0.0,1.0,2.0,3.0,587888,2021-02-05 20:00:00,2021
Unión La Calera,18.0,7.0,6.0,57.0,12.0,1.0,0.0,1.0,4.0,5.0,Antofagasta,11.0,5.0,1.0,43.0,12.0,1.0,0.0,0.0,6.0,1.0,587889,2021-02-05 22:15:00,2021
Curicó Unido,13.0,4.0,9.0,47.2,15.0,3.0,1.0,2.0,5.0,3.0,Unión Wanderers,17.0,8.0,4.0,52.8,12.0,3.0,0.0,0.0,3.0,3.0,587886,2021-02-06 00:30:00,2021
O'Higgins,9.0,2.0,5.0,47.0,14.0,1.0,0.0,3.0,0.0,0.0,Audax Italiano,14.0,3.0,16.0,52.0,5.0,1.0,0.0,0.0,1.0,0.0,587892,2021-02-06 13:30:00,2021
Everton CD,15.0,5.0,6.0,51.3,15.0,2.0,0.0,2.0,2.0,2.0,Palestino,12.0,4.0,4.0,48.7,13.0,2.0,0.0,2.0,5.0,1.0,587884,2021-02-06 20:00:00,2021
Universidad de Chile,11.0,7.0,6.0,47.8,13.0,1.0,0.0,2.0,2.0,0.0,Unión Española,7.0,2.0,5.0,52.2,7.0,3.0,0.0,2.0,4.0,1.0,587891,2021-02-06 22:15:00,2021
Deportes Iquique,7.0,3.0,4.0,55.6,15.0,2.0,0.0,2.0,3.0,0.0,Colo Colo,7.0,3.0,4.0,44.4,15.0,1.0,0.0,2.0,3.0,3.0,587885,2021-02-07 00:30:00,2021
Universidad de Concepción,12.0,3.0,5.0,52.3,8.0,3.0,0.0,5.0,5.0,3.0,Coquimbo Unido,16.0,6.0,8.0,47.7,8.0,3.0,1.0,0.0,1.0,5.0,587890,2021-02-07 20:00:00,2021
Cobresal,21.0,4.0,16.0,63.0,7.0,3.0,0.0,3.0,0.0,0.0,Huachipato,15.0,6.0,7.0,36.0,9.0,1.0,0.0,3.0,0.0,0.0,587887,2021-02-08 00:45:00,2021
Antofagasta,17.0,7.0,18.0,71.0,13.0,0.0,0.0,2.0,0.0,0.0,O'Higgins,7.0,3.0,6.0,29.0,13.0,4.0,2.0,0.0,0.0,0.0,587893,2021-02-10 13:30:00,2021
Curicó Unido,9.0,3.0,3.0,51.0,9.0,0.0,0.0,0.0,0.0,0.0,Universidad de Chile,12.0,3.0,7.0,48.0,13.0,2.0,0.0,4.0,0.0,0.0,587901,2021-02-10 21:30:00,2021
Unión Española,16.0,7.0,4.0,46.0,12.0,2.0,0.0,2.0,0.0,0.0,La Serena,12.0,6.0,16.0,53.0,7.0,3.0,0.0,9.0,0.0,0.0,587897,2021-02-10 21:30:00,2021
Universidad Católica,4.0,1.0,8.0,45.0,6.0,2.0,0.0,0.0,0.0,0.0,Unión La Calera,11.0,1.0,9.0,54.0,16.0,2.0,0.0,1.0,0.0,0.0,587900,2021-02-11 00:30:00,2021
Audax Italiano,16.0,9.0,2.0,42.0,9.0,2.0,0.0,1.0,1.0,0.0,Deportes Iquique,11.0,2.0,21.0,57.0,8.0,2.0,0.0,3.0,0.0,0.0,587894,2021-02-11 21:30:00,2021
Colo Colo,9.0,4.0,0.0,45.0,10.0,0.0,1.0,2.0,0.0,0.0,Cobresal,6.0,1.0,7.0,54.0,8.0,3.0,0.0,2.0,0.0,0.0,587895,2021-02-11 21:30:00,2021
Coquimbo Unido,14.0,6.0,5.0,35.0,18.0,4.0,0.0,0.0,0.0,0.0,Everton CD,9.0,0.0,12.0,64.0,10.0,1.0,0.0,3.0,0.0,0.0,587896,2021-02-11 21:30:00,2021
Unión Wanderers,,,,,,,,,,,Universidad de Concepción,14.0,3.0,12.0,59.0,10.0,0.0,0.0,1.0,0.0,0.0,587899,2021-02-11 21:30:00,2021
Huachipato,10.0,2.0,7.0,46.0,22.0,3.0,0.0,1.0,0.0,0.0,Palestino,13.0,1.0,5.0,53.0,10.0,2.0,0.0,3.0,0.0,0.0,587898,2021-02-12 00:00:00,2021
Unión La Calera,9.0,7.0,6.0,75.0,8.0,1.0,0.0,4.0,0.0,0.0,Curicó Unido,9.0,4.0,1.0,25.0,12.0,2.0,0.0,0.0,0.0,0.0,587909,2021-02-13 21:30:00,2021
Universidad de Chile,7.0,3.0,10.0,31.0,11.0,4.0,0.0,2.0,0.0,0.0,Antofagasta,16.0,6.0,15.0,68.0,11.0,2.0,0.0,0.0,0.0,0.0,587907,2021-02-13 21:30:00,2021
Everton CD,7.0,1.0,9.0,41.0,11.0,1.0,0.0,2.0,0.0,0.0,Huachipato,14.0,6.0,9.0,58.0,7.0,3.0,0.0,2.0,0.0,0.0,587903,2021-02-14 13:30:00,2021
Universidad de Concepción,10.0,5.0,7.0,40.0,12.0,2.0,0.0,2.0,0.0,0.0,Universidad Católica,18.0,7.0,13.0,59.0,7.0,2.0,0.0,3.0,0.0,0.0,587908,2021-02-14 13:30:00,2021
Deportes Iquique,12.0,4.0,9.0,60.0,13.0,4.0,0.0,4.0,0.0,0.0,Unión Wanderers,,,,,,,,,,,587902,2021-02-14 21:00:00,2021
La Serena,11.0,4.0,10.0,64.0,16.0,3.0,0.0,0.0,0.0,0.0,Audax Italiano,7.0,3.0,4.0,36.0,12.0,1.0,0.0,0.0,0.0,0.0,587904,2021-02-14 21:00:00,2021
O'Higgins,8.0,2.0,4.0,59.0,15.0,4.0,1.0,1.0,0.0,0.0,Colo Colo,8.0,2.0,5.0,40.0,17.0,5.0,1.0,2.0,0.0,0.0,587905,2021-02-14 21:00:00,2021
Palestino,18.0,7.0,13.0,61.0,8.0,1.0,0.0,3.0,0.0,0.0,Coquimbo Unido,22.0,6.0,3.0,38.0,5.0,1.0,0.0,3.0,0.0,0.0,587906,2021-02-14 21:00:00,2021
Cobresal,13.0,6.0,10.0,54.0,16.0,3.0,0.0,3.0,0.0,0.0,Unión Española,17.0,5.0,3.0,45.0,5.0,1.0,0.0,0.0,0.0,0.0,587910,2021-02-15 13:30:00,2021
