local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Universidad Católica,11.0,2.0,7.0,48.4,20.0,2.0,0.0,0.0,4.0,3.0,Universidad de Chile,13.0,4.0,5.0,51.6,19.0,6.0,1.0,2.0,1.0,2.0,597672,2021-11-07 15:00:00,2021
O'Higgins,12.0,3.0,6.0,69.5,14.0,5.0,1.0,1.0,2.0,3.0,Ñublense,7.0,3.0,1.0,30.5,11.0,1.0,0.0,0.0,1.0,1.0,597674,2021-11-07 19:00:00,2021
Cobresal,15.0,7.0,6.0,53.4,13.0,3.0,0.0,2.0,1.0,3.0,Everton CD,8.0,3.0,1.0,46.6,12.0,3.0,1.0,1.0,5.0,1.0,597676,2021-11-07 21:30:00,2021
Unión La Calera,6.0,0.0,0.0,42.7,7.0,2.0,2.0,3.0,4.0,3.0,Huachipato,16.0,6.0,8.0,57.3,8.0,2.0,0.0,2.0,0.0,3.0,597678,2021-11-08 00:00:00,2021
Antofagasta,9.0,2.0,6.0,52.2,15.0,2.0,0.0,6.0,2.0,4.0,La Serena,11.0,2.0,6.0,47.8,11.0,2.0,0.0,2.0,2.0,4.0,597677,2021-11-08 21:00:00,2021
Unión Española,20.0,10.0,8.0,57.8,5.0,1.0,0.0,2.0,2.0,1.0,Palestino,12.0,5.0,4.0,42.2,7.0,0.0,0.0,2.0,9.0,3.0,597671,2021-11-08 23:30:00,2021
Santiago Wanderers,8.0,4.0,3.0,47.6,12.0,3.0,0.0,2.0,4.0,2.0,Curicó Unido,13.0,7.0,8.0,52.4,10.0,1.0,0.0,4.0,4.0,4.0,597673,2021-11-09 22:00:00,2021
Colo Colo,8.0,2.0,5.0,63.9,9.0,3.0,1.0,1.0,3.0,3.0,Melipilla,12.0,3.0,3.0,36.1,12.0,4.0,0.0,5.0,1.0,2.0,597675,2021-11-10 22:00:00,2021
Ñublense,21.0,9.0,4.0,47.3,12.0,1.0,0.0,2.0,2.0,4.0,Unión Española,13.0,3.0,4.0,52.7,13.0,4.0,0.0,2.0,3.0,4.0,597681,2021-11-13 15:30:00,2021
La Serena,18.0,1.0,11.0,50.4,15.0,2.0,0.0,1.0,4.0,9.0,Universidad Católica,11.0,6.0,4.0,49.6,11.0,2.0,0.0,0.0,1.0,2.0,597684,2021-11-13 18:30:00,2021
Everton CD,12.0,5.0,4.0,47.3,11.0,0.0,0.0,5.0,2.0,1.0,Unión La Calera,9.0,4.0,3.0,52.7,12.0,1.0,0.0,0.0,4.0,2.0,597686,2021-11-14 00:00:00,2021
Audax Italiano,19.0,4.0,8.0,56.7,15.0,3.0,0.0,1.0,0.0,7.0,Antofagasta,7.0,0.0,2.0,43.3,5.0,1.0,1.0,1.0,4.0,1.0,597679,2021-11-14 15:30:00,2021
Palestino,18.0,7.0,3.0,64.6,9.0,2.0,0.0,1.0,4.0,5.0,Cobresal,14.0,5.0,2.0,35.4,10.0,2.0,1.0,3.0,5.0,5.0,597683,2021-11-14 19:00:00,2021
Curicó Unido,9.0,2.0,2.0,49.7,14.0,2.0,0.0,1.0,1.0,1.0,Colo Colo,5.0,1.0,2.0,50.3,14.0,2.0,0.0,0.0,2.0,1.0,597680,2021-11-14 21:30:00,2021
Huachipato,22.0,6.0,6.0,69.2,14.0,0.0,0.0,2.0,0.0,5.0,Santiago Wanderers,2.0,0.0,1.0,30.8,14.0,3.0,1.0,5.0,4.0,0.0,597685,2021-11-15 20:30:00,2021
Universidad de Chile,5.0,2.0,2.0,53.5,17.0,3.0,0.0,4.0,2.0,2.0,O'Higgins,9.0,2.0,8.0,46.5,18.0,4.0,0.0,2.0,2.0,4.0,597682,2021-11-15 23:00:00,2021
Cobresal,22.0,4.0,4.0,56.1,18.0,3.0,0.0,2.0,2.0,4.0,Universidad de Chile,9.0,2.0,7.0,43.9,7.0,3.0,0.0,1.0,4.0,4.0,597687,2021-11-27 21:00:00,2021
Melipilla,11.0,2.0,3.0,40.8,9.0,3.0,0.0,3.0,2.0,5.0,Everton CD,12.0,2.0,6.0,59.2,15.0,4.0,0.0,4.0,1.0,2.0,597691,2021-11-27 21:00:00,2021
O'Higgins,23.0,6.0,7.0,54.8,8.0,2.0,0.0,2.0,3.0,6.0,Antofagasta,8.0,3.0,1.0,45.2,13.0,1.0,1.0,1.0,6.0,2.0,597690,2021-11-27 21:00:00,2021
Santiago Wanderers,10.0,6.0,6.0,53.6,8.0,3.0,0.0,1.0,1.0,1.0,Audax Italiano,7.0,3.0,4.0,46.4,14.0,3.0,0.0,1.0,4.0,1.0,597689,2021-11-28 15:00:00,2021
Colo Colo,15.0,2.0,7.0,61.6,8.0,3.0,0.0,3.0,3.0,5.0,Unión Española,8.0,4.0,3.0,38.4,13.0,3.0,1.0,4.0,2.0,2.0,597693,2021-11-28 21:00:00,2021
Curicó Unido,17.0,3.0,9.0,50.9,8.0,2.0,0.0,0.0,3.0,5.0,Palestino,12.0,4.0,9.0,49.1,9.0,1.0,0.0,3.0,2.0,3.0,597692,2021-11-28 21:00:00,2021
Unión La Calera,5.0,4.0,3.0,44.5,12.0,2.0,1.0,0.0,4.0,1.0,La Serena,12.0,6.0,8.0,55.5,15.0,4.0,0.0,2.0,3.0,3.0,597694,2021-11-28 21:00:00,2021
Universidad Católica,21.0,10.0,4.0,48.4,11.0,3.0,0.0,1.0,1.0,2.0,Huachipato,9.0,1.0,6.0,51.6,10.0,2.0,1.0,0.0,8.0,5.0,597688,2021-11-28 21:00:00,2021
Antofagasta,3.0,1.0,2.0,38.1,19.0,4.0,0.0,3.0,1.0,0.0,Colo Colo,13.0,1.0,7.0,61.9,11.0,2.0,1.0,3.0,0.0,3.0,597695,2021-12-04 21:00:00,2021
Everton CD,9.0,1.0,7.0,44.3,23.0,2.0,0.0,0.0,4.0,2.0,Universidad Católica,16.0,6.0,7.0,55.7,8.0,1.0,0.0,1.0,1.0,4.0,597697,2021-12-04 21:00:00,2021
La Serena,18.0,8.0,6.0,61.5,9.0,1.0,0.0,0.0,7.0,2.0,Santiago Wanderers,19.0,7.0,7.0,38.5,9.0,4.0,0.0,0.0,8.0,4.0,597699,2021-12-04 21:00:00,2021
Palestino,16.0,5.0,4.0,44.6,12.0,1.0,1.0,1.0,3.0,6.0,Ñublense,12.0,7.0,3.0,55.4,12.0,2.0,0.0,1.0,4.0,2.0,597700,2021-12-04 21:00:00,2021
Audax Italiano,8.0,4.0,1.0,55.9,11.0,1.0,0.0,2.0,1.0,0.0,Curicó Unido,8.0,2.0,0.0,44.1,11.0,1.0,0.0,1.0,3.0,3.0,597696,2021-12-05 21:00:00,2021
Huachipato,21.0,5.0,8.0,72.0,15.0,1.0,0.0,1.0,0.0,5.0,Melipilla,8.0,1.0,2.0,28.0,16.0,4.0,1.0,2.0,2.0,2.0,597702,2021-12-05 21:00:00,2021
Unión Española,12.0,0.0,2.0,68.9,13.0,1.0,0.0,1.0,9.0,5.0,Cobresal,24.0,10.0,6.0,31.1,18.0,1.0,0.0,3.0,0.0,5.0,597698,2021-12-05 21:00:00,2021
Universidad de Chile,27.0,9.0,9.0,45.7,10.0,3.0,0.0,3.0,2.0,9.0,Unión La Calera,6.0,4.0,1.0,54.3,9.0,1.0,0.0,0.0,6.0,0.0,597701,2021-12-05 21:00:00,2021
O'Higgins,12.0,5.0,2.0,43.4,13.0,1.0,0.0,1.0,0.0,3.0,La Serena,13.0,0.0,8.0,56.6,18.0,4.0,0.0,3.0,2.0,7.0,629460,2022-02-04 23:00:00,2022
Unión Española,13.0,4.0,5.0,55.2,10.0,2.0,1.0,2.0,1.0,2.0,Palestino,12.0,2.0,5.0,44.8,8.0,2.0,0.0,0.0,3.0,4.0,629461,2022-02-05 21:00:00,2022
Coquimbo Unido,8.0,3.0,4.0,41.9,16.0,2.0,0.0,0.0,4.0,1.0,Universidad Católica,17.0,7.0,3.0,58.1,14.0,4.0,0.0,3.0,1.0,3.0,629463,2022-02-05 23:30:00,2022
Antofagasta,9.0,1.0,7.0,47.0,7.0,2.0,0.0,0.0,4.0,2.0,Cobresal,13.0,5.0,5.0,53.0,12.0,2.0,0.0,0.0,1.0,3.0,629458,2022-02-06 15:00:00,2022
Unión La Calera,19.0,7.0,7.0,66.8,6.0,0.0,0.0,2.0,3.0,2.0,Universidad de Chile,10.0,7.0,3.0,33.2,10.0,1.0,0.0,5.0,5.0,1.0,629464,2022-02-06 21:00:00,2022
Colo Colo,20.0,4.0,12.0,62.3,8.0,1.0,0.0,3.0,0.0,8.0,Everton CD,5.0,0.0,1.0,37.7,11.0,2.0,0.0,0.0,2.0,3.0,629459,2022-02-06 23:30:00,2022
Audax Italiano,10.0,3.0,6.0,45.6,14.0,3.0,0.0,0.0,3.0,2.0,Ñublense,13.0,5.0,2.0,54.4,9.0,2.0,0.0,1.0,2.0,2.0,629465,2022-02-07 21:00:00,2022
Curicó Unido,18.0,11.0,4.0,45.1,12.0,2.0,0.0,1.0,6.0,2.0,Huachipato,14.0,6.0,4.0,54.9,11.0,3.0,0.0,0.0,8.0,1.0,629462,2022-02-07 23:30:00,2022
Palestino,14.0,5.0,8.0,37.9,15.0,2.0,0.0,2.0,3.0,4.0,O'Higgins,7.0,3.0,3.0,62.1,11.0,4.0,0.0,0.0,4.0,2.0,629455,2022-02-11 21:00:00,2022
Everton CD,22.0,9.0,6.0,49.0,10.0,2.0,0.0,1.0,6.0,3.0,Coquimbo Unido,17.0,6.0,7.0,51.0,12.0,2.0,0.0,1.0,7.0,4.0,629453,2022-02-11 23:30:00,2022
Huachipato,8.0,2.0,3.0,46.7,9.0,3.0,0.0,1.0,3.0,1.0,Audax Italiano,17.0,4.0,7.0,53.3,11.0,1.0,0.0,2.0,0.0,6.0,629451,2022-02-12 21:00:00,2022
Universidad de Chile,6.0,4.0,0.0,52.2,15.0,2.0,0.0,0.0,5.0,1.0,Antofagasta,18.0,6.0,6.0,47.8,9.0,2.0,2.0,3.0,2.0,6.0,629450,2022-02-12 23:30:00,2022
La Serena,10.0,4.0,3.0,40.7,15.0,1.0,0.0,1.0,5.0,3.0,Colo Colo,18.0,6.0,5.0,59.3,13.0,3.0,0.0,3.0,3.0,6.0,629452,2022-02-13 21:00:00,2022
Universidad Católica,15.0,5.0,10.0,46.7,13.0,3.0,0.0,1.0,2.0,3.0,Unión Española,12.0,3.0,6.0,53.3,11.0,3.0,0.0,2.0,3.0,2.0,629456,2022-02-13 23:30:00,2022
Ñublense,19.0,5.0,8.0,52.0,7.0,0.0,0.0,3.0,1.0,4.0,Unión La Calera,10.0,1.0,2.0,48.0,8.0,1.0,1.0,0.0,5.0,3.0,629457,2022-02-14 21:00:00,2022
Cobresal,22.0,6.0,2.0,63.9,12.0,2.0,0.0,3.0,1.0,6.0,Curicó Unido,13.0,4.0,3.0,36.1,11.0,5.0,0.0,1.0,4.0,3.0,629454,2022-02-14 23:30:00,2022
O'Higgins,13.0,4.0,3.0,55.2,17.0,4.0,0.0,1.0,1.0,4.0,Huachipato,8.0,2.0,3.0,44.8,17.0,0.0,0.0,0.0,3.0,3.0,629448,2022-02-18 21:00:00,2022
Unión Española,21.0,5.0,11.0,58.9,10.0,2.0,0.0,1.0,0.0,7.0,Everton CD,6.0,1.0,7.0,41.1,11.0,3.0,0.0,1.0,4.0,2.0,629445,2022-02-18 23:30:00,2022
Colo Colo,13.0,6.0,8.0,51.2,13.0,3.0,1.0,0.0,1.0,5.0,Audax Italiano,5.0,1.0,1.0,48.8,11.0,5.0,0.0,2.0,5.0,2.0,629442,2022-02-19 21:00:00,2022
Antofagasta,12.0,3.0,6.0,44.5,7.0,2.0,0.0,3.0,0.0,2.0,La Serena,8.0,2.0,4.0,55.5,15.0,5.0,0.0,3.0,1.0,1.0,629446,2022-02-19 23:30:00,2022
Coquimbo Unido,13.0,6.0,7.0,67.1,10.0,3.0,0.0,0.0,2.0,5.0,Palestino,13.0,5.0,6.0,32.9,10.0,4.0,1.0,2.0,4.0,2.0,629447,2022-02-20 15:00:00,2022
Unión La Calera,11.0,3.0,2.0,64.7,11.0,2.0,0.0,1.0,1.0,0.0,Cobresal,10.0,3.0,3.0,35.3,8.0,1.0,0.0,2.0,3.0,2.0,629443,2022-02-20 21:00:00,2022
Universidad Católica,23.0,5.0,8.0,54.3,11.0,2.0,0.0,2.0,2.0,5.0,Curicó Unido,9.0,2.0,5.0,45.7,11.0,4.0,2.0,3.0,4.0,1.0,629444,2022-02-20 23:30:00,2022
Ñublense,20.0,10.0,3.0,56.2,16.0,5.0,0.0,3.0,3.0,4.0,Universidad de Chile,11.0,5.0,4.0,43.8,16.0,2.0,1.0,0.0,6.0,5.0,629449,2022-02-21 21:00:00,2022
Unión La Calera,10.0,4.0,4.0,55.6,14.0,1.0,0.0,0.0,0.0,3.0,Everton CD,5.0,1.0,1.0,44.4,15.0,2.0,0.0,0.0,3.0,2.0,629437,2022-02-25 23:00:00,2022
La Serena,6.0,3.0,3.0,36.5,18.0,4.0,0.0,2.0,4.0,1.0,Coquimbo Unido,14.0,5.0,8.0,63.5,13.0,7.0,0.0,2.0,2.0,6.0,629436,2022-02-26 15:00:00,2022
Cobresal,20.0,8.0,9.0,48.2,16.0,3.0,0.0,1.0,1.0,7.0,Ñublense,12.0,2.0,1.0,51.8,9.0,3.0,0.0,1.0,7.0,4.0,629441,2022-02-26 21:00:00,2022
Audax Italiano,12.0,4.0,2.0,60.6,14.0,3.0,0.0,0.0,0.0,1.0,Antofagasta,9.0,3.0,1.0,39.4,24.0,3.0,0.0,2.0,4.0,1.0,629434,2022-02-26 23:30:00,2022
Huachipato,8.0,4.0,2.0,48.5,20.0,4.0,0.0,2.0,5.0,2.0,Colo Colo,15.0,5.0,5.0,51.5,18.0,3.0,0.0,2.0,3.0,3.0,629435,2022-02-27 15:00:00,2022
Palestino,18.0,7.0,8.0,39.9,13.0,2.0,0.0,4.0,2.0,4.0,Universidad Católica,15.0,4.0,0.0,60.1,16.0,3.0,0.0,1.0,4.0,5.0,629439,2022-02-27 21:00:00,2022
Curicó Unido,13.0,5.0,3.0,52.5,13.0,4.0,0.0,1.0,1.0,2.0,Unión Española,16.0,2.0,5.0,47.5,15.0,1.0,1.0,2.0,5.0,4.0,629440,2022-02-28 21:00:00,2022
Universidad de Chile,13.0,3.0,6.0,72.0,14.0,3.0,0.0,1.0,2.0,1.0,O'Higgins,10.0,3.0,3.0,28.0,12.0,2.0,1.0,4.0,3.0,0.0,629438,2022-02-28 23:30:00,2022
Palestino,8.0,0.0,5.0,49.5,15.0,3.0,0.0,4.0,2.0,2.0,Unión La Calera,8.0,2.0,1.0,50.5,17.0,5.0,1.0,2.0,0.0,4.0,629433,2022-03-04 21:00:00,2022
Ñublense,10.0,5.0,2.0,46.3,11.0,5.0,0.0,2.0,4.0,3.0,La Serena,17.0,5.0,9.0,53.7,14.0,1.0,0.0,0.0,2.0,3.0,629429,2022-03-04 23:30:00,2022
Coquimbo Unido,13.0,5.0,3.0,38.2,13.0,3.0,1.0,0.0,2.0,2.0,Antofagasta,12.0,4.0,6.0,61.8,13.0,2.0,1.0,2.0,2.0,3.0,629426,2022-03-05 15:00:00,2022
Unión Española,18.0,2.0,6.0,53.1,12.0,3.0,1.0,1.0,4.0,5.0,Huachipato,13.0,4.0,5.0,46.9,12.0,4.0,0.0,1.0,1.0,2.0,629430,2022-03-05 21:00:00,2022
Everton CD,18.0,5.0,7.0,54.9,7.0,2.0,0.0,2.0,1.0,7.0,Curicó Unido,11.0,2.0,4.0,45.1,15.0,4.0,1.0,0.0,4.0,3.0,629428,2022-03-05 23:30:00,2022
Colo Colo,19.0,8.0,6.0,47.3,7.0,1.0,0.0,1.0,5.0,3.0,Universidad de Chile,15.0,6.0,5.0,52.7,11.0,3.0,2.0,0.0,5.0,1.0,629432,2022-03-06 15:00:00,2022
O'Higgins,7.0,3.0,10.0,48.9,18.0,5.0,1.0,3.0,2.0,1.0,Audax Italiano,8.0,4.0,3.0,51.1,16.0,4.0,1.0,0.0,1.0,2.0,629427,2022-03-06 21:00:00,2022
Cobresal,12.0,6.0,4.0,35.0,15.0,4.0,0.0,2.0,2.0,2.0,Universidad Católica,17.0,3.0,3.0,65.0,9.0,1.0,0.0,0.0,3.0,8.0,629431,2022-03-06 23:30:00,2022
La Serena,12.0,3.0,1.0,51.7,7.0,4.0,0.0,1.0,5.0,3.0,Cobresal,15.0,9.0,4.0,48.3,10.0,5.0,0.0,2.0,1.0,1.0,629418,2022-03-11 21:00:00,2022
Coquimbo Unido,14.0,4.0,6.0,58.9,10.0,4.0,0.0,2.0,2.0,2.0,Ñublense,11.0,3.0,2.0,41.1,16.0,7.0,0.0,2.0,4.0,3.0,629425,2022-03-12 15:00:00,2022
Universidad Católica,13.0,3.0,3.0,63.5,20.0,3.0,0.0,1.0,1.0,1.0,Everton CD,9.0,2.0,4.0,36.5,10.0,0.0,1.0,4.0,3.0,3.0,629420,2022-03-12 21:00:00,2022
Unión La Calera,16.0,6.0,3.0,52.6,11.0,4.0,0.0,1.0,5.0,6.0,Huachipato,12.0,4.0,5.0,47.4,14.0,4.0,0.0,1.0,5.0,0.0,629423,2022-03-12 23:30:00,2022
Curicó Unido,9.0,8.0,2.0,50.3,14.0,2.0,0.0,1.0,4.0,1.0,O'Higgins,9.0,4.0,6.0,49.7,8.0,2.0,0.0,6.0,3.0,2.0,629421,2022-03-13 21:00:00,2022
Audax Italiano,12.0,4.0,4.0,45.1,12.0,5.0,0.0,1.0,1.0,0.0,Palestino,9.0,2.0,4.0,54.9,12.0,2.0,0.0,3.0,1.0,3.0,629422,2022-03-13 23:30:00,2022
Antofagasta,6.0,1.0,3.0,40.5,15.0,2.0,2.0,4.0,3.0,2.0,Colo Colo,24.0,4.0,10.0,59.5,6.0,1.0,0.0,2.0,1.0,3.0,629419,2022-03-14 21:00:00,2022
Universidad de Chile,10.0,1.0,6.0,44.3,20.0,3.0,1.0,0.0,5.0,3.0,Curicó Unido,14.0,6.0,3.0,55.7,16.0,2.0,0.0,3.0,0.0,2.0,629413,2022-03-17 23:30:00,2022
O'Higgins,8.0,3.0,2.0,42.5,18.0,5.0,0.0,0.0,0.0,0.0,Universidad Católica,11.0,1.0,8.0,57.5,15.0,3.0,1.0,0.0,1.0,2.0,629415,2022-03-19 21:00:00,2022
Cobresal,20.0,8.0,9.0,55.7,15.0,3.0,0.0,1.0,2.0,2.0,Coquimbo Unido,9.0,3.0,3.0,44.3,10.0,4.0,0.0,0.0,6.0,0.0,629412,2022-03-19 23:30:00,2022
Huachipato,14.0,5.0,13.0,60.2,13.0,2.0,0.0,4.0,2.0,3.0,La Serena,13.0,5.0,4.0,39.8,7.0,2.0,0.0,5.0,3.0,3.0,629414,2022-03-20 15:00:00,2022
Palestino,6.0,2.0,3.0,54.4,19.0,3.0,0.0,2.0,4.0,1.0,Colo Colo,13.0,9.0,4.0,45.6,16.0,3.0,0.0,1.0,1.0,1.0,629411,2022-03-20 20:30:00,2022
Everton CD,10.0,2.0,6.0,48.9,15.0,2.0,0.0,1.0,4.0,4.0,Audax Italiano,14.0,4.0,5.0,51.1,11.0,1.0,0.0,2.0,2.0,3.0,629410,2022-03-20 23:30:00,2022
Antofagasta,19.0,3.0,3.0,42.4,10.0,2.0,0.0,1.0,4.0,4.0,Unión La Calera,16.0,4.0,5.0,57.6,9.0,0.0,0.0,1.0,3.0,2.0,629416,2022-03-21 21:00:00,2022
Unión Española,12.0,7.0,6.0,41.8,13.0,4.0,0.0,1.0,3.0,2.0,Ñublense,11.0,3.0,3.0,58.2,10.0,3.0,0.0,3.0,6.0,2.0,629417,2022-03-21 23:30:00,2022
Universidad de Chile,12.0,7.0,2.0,44.1,10.0,5.0,0.0,1.0,7.0,3.0,Unión Española,23.0,7.0,14.0,55.9,8.0,3.0,0.0,1.0,5.0,5.0,629424,2022-03-27 19:00:00,2022
Colo Colo,15.0,7.0,7.0,62.2,10.0,2.0,0.0,4.0,1.0,2.0,Unión La Calera,7.0,1.0,4.0,37.8,5.0,2.0,1.0,1.0,3.0,1.0,629409,2022-03-31 22:00:00,2022
La Serena,9.0,1.0,2.0,42.9,16.0,4.0,0.0,0.0,3.0,2.0,Everton CD,15.0,7.0,10.0,57.1,16.0,2.0,0.0,3.0,0.0,2.0,629405,2022-04-01 20:30:00,2022
O'Higgins,12.0,8.0,4.0,57.4,16.0,5.0,0.0,1.0,2.0,1.0,Coquimbo Unido,14.0,3.0,5.0,42.6,12.0,3.0,0.0,1.0,6.0,4.0,629404,2022-04-01 23:30:00,2022
Ñublense,18.0,5.0,4.0,57.7,10.0,4.0,1.0,1.0,4.0,5.0,Antofagasta,11.0,6.0,5.0,42.3,14.0,3.0,1.0,1.0,5.0,2.0,629402,2022-04-02 18:00:00,2022
Audax Italiano,13.0,3.0,7.0,45.1,10.0,2.0,0.0,0.0,3.0,4.0,Unión Española,14.0,4.0,8.0,54.9,12.0,3.0,0.0,2.0,3.0,4.0,629408,2022-04-03 21:30:00,2022
Curicó Unido,16.0,3.0,4.0,56.8,9.0,3.0,0.0,0.0,3.0,5.0,Palestino,7.0,3.0,2.0,43.2,17.0,5.0,0.0,2.0,3.0,0.0,629406,2022-04-05 00:30:00,2022
Everton CD,3.0,1.0,2.0,42.5,10.0,1.0,1.0,1.0,7.0,0.0,Huachipato,19.0,8.0,8.0,57.5,17.0,3.0,1.0,1.0,1.0,6.0,629399,2022-04-09 19:00:00,2022
Coquimbo Unido,14.0,7.0,4.0,48.2,16.0,6.0,0.0,0.0,6.0,2.0,Universidad de Chile,11.0,6.0,1.0,51.8,12.0,2.0,0.0,4.0,5.0,2.0,629400,2022-04-09 21:30:00,2022
Universidad Católica,16.0,0.0,6.0,71.4,10.0,0.0,0.0,0.0,0.0,4.0,La Serena,5.0,2.0,1.0,28.6,14.0,4.0,0.0,0.0,0.0,1.0,629397,2022-04-10 00:00:00,2022
Cobresal,13.0,2.0,7.0,67.0,10.0,3.0,0.0,1.0,1.0,4.0,Audax Italiano,5.0,2.0,3.0,33.0,16.0,4.0,0.0,4.0,2.0,1.0,629394,2022-04-10 16:30:00,2022
Palestino,11.0,3.0,2.0,40.8,14.0,4.0,0.0,1.0,4.0,2.0,Ñublense,18.0,5.0,6.0,59.2,6.0,2.0,0.0,1.0,2.0,5.0,629401,2022-04-10 19:00:00,2022
Unión Española,5.0,3.0,4.0,56.2,10.0,6.0,1.0,2.0,2.0,1.0,Colo Colo,10.0,3.0,5.0,43.8,19.0,5.0,0.0,1.0,1.0,2.0,629395,2022-04-10 21:30:00,2022
Unión La Calera,14.0,2.0,5.0,53.5,6.0,2.0,0.0,3.0,1.0,3.0,Curicó Unido,10.0,1.0,3.0,46.5,13.0,3.0,0.0,4.0,2.0,5.0,629396,2022-04-11 00:00:00,2022
La Serena,6.0,2.0,4.0,44.7,13.0,2.0,0.0,4.0,4.0,1.0,Unión Española,14.0,6.0,5.0,55.3,14.0,3.0,0.0,3.0,1.0,2.0,629393,2022-04-15 20:30:00,2022
Audax Italiano,10.0,3.0,6.0,60.1,13.0,3.0,0.0,0.0,2.0,4.0,Coquimbo Unido,8.0,3.0,4.0,39.9,12.0,2.0,0.0,2.0,2.0,2.0,629388,2022-04-16 19:00:00,2022
Universidad de Chile,16.0,4.0,7.0,49.7,11.0,3.0,0.0,2.0,4.0,4.0,Palestino,15.0,4.0,5.0,50.3,12.0,4.0,0.0,3.0,4.0,4.0,629391,2022-04-16 21:30:00,2022
Curicó Unido,22.0,7.0,3.0,56.1,14.0,1.0,0.0,1.0,1.0,6.0,Antofagasta,11.0,1.0,2.0,43.9,12.0,3.0,0.0,2.0,5.0,1.0,629386,2022-04-17 16:30:00,2022
Huachipato,15.0,2.0,6.0,46.3,20.0,1.0,0.0,2.0,4.0,3.0,Universidad Católica,14.0,4.0,5.0,53.7,12.0,3.0,1.0,0.0,1.0,4.0,629392,2022-04-17 19:30:00,2022
Colo Colo,13.0,4.0,5.0,46.7,13.0,3.0,1.0,5.0,1.0,2.0,Cobresal,11.0,2.0,3.0,53.3,17.0,3.0,1.0,3.0,3.0,5.0,629387,2022-04-17 22:00:00,2022
Ñublense,22.0,6.0,3.0,64.6,7.0,3.0,0.0,2.0,5.0,8.0,Everton CD,15.0,6.0,6.0,35.4,9.0,2.0,0.0,1.0,3.0,3.0,629389,2022-04-18 22:00:00,2022
Unión La Calera,16.0,4.0,6.0,61.4,8.0,1.0,0.0,1.0,2.0,3.0,O'Higgins,5.0,2.0,2.0,38.6,11.0,2.0,0.0,1.0,4.0,0.0,629390,2022-04-19 00:30:00,2022
Everton CD,11.0,2.0,4.0,49.9,21.0,4.0,1.0,1.0,4.0,2.0,Palestino,16.0,4.0,4.0,50.1,19.0,4.0,0.0,1.0,2.0,5.0,629381,2022-04-23 00:00:00,2022
Antofagasta,18.0,4.0,7.0,34.6,15.0,1.0,0.0,1.0,1.0,2.0,Huachipato,8.0,1.0,4.0,65.4,10.0,4.0,1.0,3.0,3.0,0.0,629382,2022-04-23 16:30:00,2022
La Serena,13.0,7.0,5.0,54.8,12.0,4.0,0.0,1.0,2.0,0.0,Curicó Unido,8.0,5.0,4.0,45.2,13.0,1.0,0.0,1.0,6.0,0.0,629380,2022-04-23 19:00:00,2022
Universidad Católica,9.0,5.0,2.0,43.3,23.0,3.0,1.0,2.0,1.0,3.0,Colo Colo,7.0,2.0,4.0,56.7,15.0,3.0,0.0,0.0,4.0,0.0,629379,2022-04-24 16:30:00,2022
O'Higgins,9.0,4.0,3.0,36.0,13.0,4.0,0.0,0.0,3.0,1.0,Ñublense,11.0,2.0,5.0,64.0,10.0,1.0,1.0,3.0,4.0,3.0,629385,2022-04-24 21:30:00,2022
Coquimbo Unido,14.0,4.0,9.0,46.8,12.0,2.0,0.0,2.0,4.0,5.0,Unión La Calera,12.0,7.0,3.0,53.2,9.0,3.0,0.0,0.0,2.0,3.0,629384,2022-04-25 00:00:00,2022
Unión Española,12.0,4.0,8.0,56.9,9.0,3.0,0.0,0.0,4.0,3.0,Cobresal,12.0,6.0,1.0,43.1,14.0,4.0,0.0,2.0,2.0,1.0,629378,2022-04-27 00:00:00,2022
Audax Italiano,19.0,6.0,6.0,51.2,13.0,3.0,0.0,3.0,2.0,5.0,Universidad de Chile,8.0,2.0,2.0,48.8,13.0,1.0,2.0,2.0,4.0,0.0,629383,2022-04-29 18:00:00,2022
Antofagasta,13.0,6.0,7.0,45.2,18.0,3.0,0.0,1.0,2.0,3.0,O'Higgins,12.0,3.0,2.0,54.8,11.0,2.0,1.0,3.0,5.0,4.0,629398,2022-04-30 16:00:00,2022
O'Higgins,16.0,3.0,4.0,46.8,10.0,1.0,0.0,3.0,5.0,5.0,Unión Española,13.0,7.0,6.0,53.2,8.0,1.0,0.0,0.0,1.0,1.0,629377,2022-05-07 19:00:00,2022
Universidad de Chile,21.0,4.0,8.0,54.1,14.0,2.0,0.0,0.0,2.0,6.0,La Serena,9.0,2.0,6.0,45.9,13.0,2.0,0.0,5.0,2.0,1.0,629374,2022-05-07 21:30:00,2022
Palestino,14.0,5.0,2.0,37.7,17.0,1.0,1.0,0.0,0.0,3.0,Antofagasta,5.0,0.0,5.0,62.3,11.0,3.0,0.0,1.0,4.0,3.0,629370,2022-05-08 16:00:00,2022
Ñublense,17.0,8.0,4.0,51.4,16.0,2.0,0.0,1.0,3.0,3.0,Universidad Católica,12.0,3.0,7.0,48.6,16.0,3.0,0.0,2.0,4.0,2.0,629376,2022-05-08 21:30:00,2022
