local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Banfield,13.0,4.0,4.0,48.0,16.0,1.0,0.0,0.0,2.0,2.0,Boca Juniors,11.0,3.0,2.0,52.0,21.0,3.0,1.0,1.0,3.0,4.0,592392,2021-01-17 22:10:00,2021
Vélez Sarsfield,16.0,4.0,2.0,68.0,13.0,2.0,0.0,0.0,1.0,2.0,Banfield,11.0,4.0,6.0,32.0,16.0,3.0,0.0,3.0,2.0,5.0,596394,2021-03-31 20:15:00,2021
Unión (Santa Fe),14.0,6.0,4.0,55.1,19.0,4.0,0.0,1.0,1.0,4.0,Boca Juniors,5.0,2.0,2.0,44.9,25.0,3.0,0.0,3.0,5.0,0.0,610246,2021-07-16 19:00:00,2021
Sarmiento (Junín),9.0,1.0,4.0,48.6,13.0,0.0,0.0,4.0,2.0,1.0,Estudiantes de La Plata,14.0,5.0,5.0,51.4,14.0,2.0,0.0,3.0,1.0,3.0,610249,2021-07-16 21:15:00,2021
Aldosivi,3.0,0.0,5.0,71.7,15.0,5.0,1.0,2.0,4.0,1.0,Patronato,18.0,6.0,5.0,28.3,16.0,2.0,0.0,1.0,0.0,7.0,610250,2021-07-17 13:30:00,2021
Lanús,10.0,5.0,3.0,48.3,13.0,0.0,0.0,3.0,4.0,2.0,Atlético Tucumán,15.0,6.0,5.0,51.7,21.0,2.0,0.0,5.0,1.0,2.0,610244,2021-07-17 15:45:00,2021
Newell's Old Boys,17.0,9.0,10.0,54.9,14.0,1.0,1.0,1.0,2.0,4.0,Talleres (Córdoba),11.0,4.0,5.0,45.1,18.0,2.0,0.0,2.0,6.0,3.0,610255,2021-07-17 15:45:00,2021
Gimnasia La Plata,6.0,3.0,4.0,68.0,15.0,2.0,0.0,0.0,0.0,0.0,Platense,6.0,2.0,2.0,32.0,25.0,3.0,0.0,4.0,1.0,3.0,610251,2021-07-17 18:00:00,2021
Vélez Sarsfield,9.0,2.0,6.0,50.8,14.0,0.0,0.0,3.0,3.0,3.0,Racing Club,9.0,3.0,4.0,49.2,19.0,1.0,0.0,1.0,2.0,1.0,610252,2021-07-17 20:15:00,2021
Huracán,8.0,3.0,4.0,33.2,20.0,3.0,0.0,1.0,2.0,0.0,Defensa y Justicia,5.0,3.0,4.0,66.8,10.0,3.0,0.0,8.0,1.0,1.0,610248,2021-07-18 13:30:00,2021
Arsenal Sarandi,10.0,2.0,6.0,52.5,22.0,1.0,1.0,5.0,0.0,4.0,San Lorenzo,7.0,1.0,2.0,47.5,25.0,3.0,1.0,1.0,1.0,3.0,610254,2021-07-18 15:45:00,2021
River Plate,22.0,8.0,14.0,74.5,16.0,3.0,0.0,4.0,0.0,5.0,Colón (Santa Fe),5.0,2.0,2.0,25.5,8.0,1.0,1.0,2.0,7.0,1.0,610247,2021-07-18 18:00:00,2021
