local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
San Lorenzo,10.0,4.0,5.0,52.2,9.0,1.0,0.0,3.0,3.0,4.0,Arsenal Sarandi,13.0,6.0,5.0,47.8,12.0,1.0,0.0,1.0,1.0,3.0,635293,2022-06-14 15:00:00,2022
Patronato,12.0,2.0,5.0,37.5,19.0,5.0,0.0,4.0,2.0,2.0,Aldosivi,6.0,2.0,1.0,62.5,11.0,3.0,1.0,1.0,1.0,1.0,635297,2022-06-14 19:00:00,2022
Talleres (Córdoba),23.0,1.0,11.0,59.3,9.0,4.0,1.0,1.0,2.0,7.0,Newell's Old Boys,10.0,3.0,5.0,40.7,14.0,2.0,0.0,1.0,1.0,1.0,635292,2022-06-14 19:00:00,2022
Defensa y Justicia,11.0,1.0,5.0,56.4,7.0,1.0,0.0,1.0,3.0,1.0,Huracán,11.0,5.0,4.0,43.6,9.0,2.0,0.0,1.0,0.0,2.0,635299,2022-06-14 21:30:00,2022
Estudiantes de La Plata,14.0,4.0,2.0,65.4,15.0,2.0,1.0,1.0,1.0,3.0,Sarmiento (Junín),11.0,2.0,2.0,34.6,17.0,6.0,0.0,1.0,2.0,3.0,635298,2022-06-14 21:30:00,2022
Barracas Central,19.0,5.0,3.0,58.0,7.0,2.0,0.0,2.0,2.0,2.0,Unión (Santa Fe),15.0,5.0,5.0,42.0,15.0,2.0,0.0,5.0,4.0,2.0,635302,2022-06-15 14:00:00,2022
Atlético Tucumán,12.0,4.0,6.0,41.6,16.0,3.0,0.0,2.0,0.0,2.0,Lanús,2.0,1.0,3.0,58.4,16.0,3.0,0.0,2.0,2.0,0.0,635291,2022-06-15 16:30:00,2022
Banfield,11.0,3.0,3.0,50.9,16.0,2.0,0.0,0.0,4.0,4.0,Central Córdoba (Santiago del Estero),17.0,6.0,4.0,49.1,9.0,3.0,0.0,1.0,1.0,3.0,635303,2022-06-15 16:30:00,2022
Colón (Santa Fe),6.0,2.0,3.0,33.0,13.0,1.0,0.0,4.0,6.0,0.0,River Plate,19.0,6.0,8.0,67.0,10.0,0.0,0.0,1.0,1.0,5.0,635300,2022-06-15 19:00:00,2022
Boca Juniors,9.0,6.0,3.0,48.9,15.0,4.0,0.0,0.0,2.0,0.0,Tigre,16.0,4.0,6.0,51.1,8.0,2.0,0.0,2.0,2.0,5.0,635301,2022-06-15 21:30:00,2022
Argentinos Juniors,14.0,3.0,5.0,57.5,13.0,3.0,0.0,0.0,0.0,1.0,Independiente,10.0,1.0,5.0,42.5,13.0,4.0,0.0,2.0,1.0,3.0,635290,2022-06-16 19:00:00,2022
Rosario Central,13.0,5.0,11.0,57.0,12.0,1.0,0.0,0.0,1.0,5.0,Godoy Cruz Antonio Tomba,9.0,1.0,2.0,43.0,12.0,0.0,1.0,1.0,4.0,3.0,635294,2022-06-16 19:00:00,2022
Platense,8.0,3.0,7.0,50.1,11.0,3.0,0.0,1.0,4.0,1.0,Gimnasia La Plata,15.0,5.0,7.0,49.9,11.0,2.0,0.0,0.0,2.0,2.0,635296,2022-06-16 21:30:00,2022
Racing Club,8.0,3.0,5.0,48.0,14.0,3.0,0.0,1.0,2.0,2.0,Vélez Sarsfield,11.0,2.0,4.0,52.0,22.0,4.0,0.0,0.0,1.0,4.0,635295,2022-06-16 21:30:00,2022
Arsenal Sarandi,15.0,5.0,4.0,45.4,16.0,2.0,0.0,4.0,1.0,3.0,Talleres (Córdoba),9.0,1.0,3.0,54.6,14.0,2.0,0.0,3.0,4.0,5.0,635316,2022-06-18 18:00:00,2022
Sarmiento (Junín),22.0,8.0,10.0,45.8,17.0,3.0,0.0,1.0,3.0,5.0,Patronato,9.0,4.0,2.0,54.2,15.0,2.0,2.0,2.0,6.0,1.0,635307,2022-06-18 20:30:00,2022
Tigre,14.0,6.0,5.0,48.7,13.0,2.0,0.0,0.0,3.0,2.0,Banfield,9.0,4.0,4.0,51.3,12.0,3.0,0.0,3.0,6.0,2.0,635306,2022-06-19 13:00:00,2022
Huracán,14.0,1.0,6.0,57.9,9.0,1.0,0.0,2.0,1.0,4.0,Atlético Tucumán,5.0,1.0,5.0,42.1,17.0,6.0,0.0,0.0,1.0,2.0,635311,2022-06-19 15:30:00,2022
Lanús,16.0,9.0,8.0,58.2,12.0,1.0,1.0,1.0,0.0,3.0,Colón (Santa Fe),11.0,0.0,3.0,41.8,16.0,4.0,0.0,1.0,8.0,3.0,635309,2022-06-19 15:30:00,2022
Unión (Santa Fe),12.0,4.0,6.0,52.7,8.0,2.0,0.0,1.0,2.0,4.0,River Plate,14.0,7.0,2.0,47.3,16.0,3.0,0.0,0.0,3.0,2.0,635305,2022-06-19 18:00:00,2022
Barracas Central,5.0,2.0,2.0,21.2,15.0,4.0,1.0,1.0,4.0,1.0,Boca Juniors,14.0,7.0,9.0,78.8,12.0,5.0,0.0,3.0,1.0,5.0,635315,2022-06-19 21:30:00,2022
Godoy Cruz Antonio Tomba,15.0,5.0,7.0,43.3,10.0,1.0,0.0,3.0,3.0,3.0,Defensa y Justicia,14.0,4.0,1.0,56.7,15.0,2.0,0.0,0.0,2.0,5.0,635312,2022-06-20 16:30:00,2022
Gimnasia La Plata,9.0,6.0,6.0,25.4,19.0,2.0,0.0,1.0,2.0,1.0,Racing Club,14.0,3.0,7.0,74.6,17.0,5.0,0.0,0.0,3.0,5.0,635313,2022-06-20 19:00:00,2022
Vélez Sarsfield,12.0,4.0,7.0,51.9,10.0,3.0,0.0,1.0,5.0,3.0,Rosario Central,10.0,5.0,7.0,48.1,10.0,2.0,0.0,0.0,2.0,3.0,635310,2022-06-20 19:00:00,2022
Independiente,14.0,5.0,3.0,46.2,17.0,1.0,0.0,2.0,2.0,2.0,Estudiantes de La Plata,13.0,3.0,3.0,53.8,11.0,2.0,0.0,0.0,3.0,1.0,635317,2022-06-20 21:30:00,2022
Newell's Old Boys,12.0,6.0,4.0,28.9,13.0,3.0,0.0,5.0,2.0,1.0,Argentinos Juniors,15.0,2.0,9.0,71.1,12.0,5.0,0.0,0.0,5.0,5.0,635308,2022-06-20 21:30:00,2022
Aldosivi,11.0,2.0,7.0,60.0,9.0,2.0,1.0,3.0,7.0,2.0,Platense,11.0,6.0,7.0,40.0,12.0,2.0,0.0,1.0,2.0,1.0,635304,2022-06-21 19:00:00,2022
Central Córdoba (Santiago del Estero),11.0,4.0,4.0,56.4,10.0,3.0,0.0,0.0,3.0,3.0,San Lorenzo,14.0,5.0,6.0,43.6,12.0,2.0,0.0,2.0,3.0,5.0,635314,2022-06-21 21:30:00,2022
Banfield,23.0,6.0,10.0,67.5,12.0,1.0,0.0,2.0,1.0,2.0,Barracas Central,4.0,1.0,1.0,32.5,13.0,4.0,0.0,0.0,6.0,1.0,635326,2022-06-24 19:00:00,2022
Rosario Central,8.0,1.0,7.0,61.4,16.0,3.0,0.0,1.0,2.0,1.0,Gimnasia La Plata,11.0,3.0,3.0,38.6,9.0,1.0,0.0,2.0,1.0,2.0,635321,2022-06-24 19:00:00,2022
Boca Juniors,11.0,4.0,4.0,70.9,17.0,1.0,2.0,1.0,0.0,1.0,Unión (Santa Fe),6.0,2.0,4.0,29.1,16.0,2.0,1.0,2.0,3.0,2.0,635327,2022-06-24 21:30:00,2022
Defensa y Justicia,11.0,2.0,4.0,43.3,17.0,3.0,0.0,1.0,1.0,3.0,Vélez Sarsfield,7.0,2.0,3.0,56.7,22.0,3.0,0.0,2.0,1.0,0.0,635329,2022-06-25 15:30:00,2022
Talleres (Córdoba),6.0,1.0,3.0,50.9,11.0,1.0,1.0,2.0,4.0,1.0,Central Córdoba (Santiago del Estero),9.0,6.0,4.0,49.1,7.0,1.0,0.0,0.0,1.0,0.0,635323,2022-06-25 15:30:00,2022
Colón (Santa Fe),7.0,2.0,3.0,56.7,11.0,1.0,0.0,1.0,3.0,0.0,Huracán,6.0,4.0,1.0,43.3,16.0,2.0,0.0,1.0,2.0,0.0,635328,2022-06-25 18:00:00,2022
Estudiantes de La Plata,18.0,3.0,5.0,61.3,14.0,2.0,0.0,0.0,3.0,5.0,Newell's Old Boys,9.0,5.0,1.0,38.7,16.0,3.0,0.0,3.0,3.0,2.0,635330,2022-06-25 18:00:00,2022
River Plate,12.0,4.0,5.0,56.5,14.0,2.0,0.0,0.0,2.0,2.0,Lanús,7.0,3.0,4.0,43.5,17.0,3.0,2.0,2.0,2.0,4.0,635320,2022-06-25 20:30:00,2022
San Lorenzo,11.0,5.0,6.0,45.2,12.0,1.0,0.0,2.0,3.0,2.0,Tigre,8.0,4.0,2.0,54.8,12.0,3.0,0.0,1.0,4.0,2.0,635322,2022-06-26 13:00:00,2022
Platense,19.0,5.0,4.0,59.3,18.0,4.0,0.0,2.0,4.0,6.0,Sarmiento (Junín),7.0,5.0,4.0,40.7,14.0,4.0,0.0,0.0,4.0,1.0,635318,2022-06-26 15:30:00,2022
Racing Club,15.0,7.0,5.0,65.2,12.0,1.0,0.0,1.0,1.0,2.0,Aldosivi,16.0,1.0,2.0,34.8,13.0,3.0,0.0,2.0,3.0,7.0,635319,2022-06-26 18:00:00,2022
Argentinos Juniors,16.0,10.0,10.0,70.5,10.0,1.0,0.0,1.0,3.0,1.0,Arsenal Sarandi,12.0,4.0,4.0,29.5,15.0,3.0,0.0,2.0,9.0,1.0,635324,2022-06-26 20:30:00,2022
Patronato,7.0,5.0,2.0,22.4,9.0,4.0,1.0,3.0,4.0,0.0,Independiente,19.0,6.0,11.0,77.6,8.0,4.0,0.0,5.0,2.0,6.0,635331,2022-06-27 15:30:00,2022
Atlético Tucumán,19.0,7.0,6.0,45.3,11.0,3.0,0.0,3.0,2.0,2.0,Godoy Cruz Antonio Tomba,13.0,3.0,8.0,54.7,9.0,1.0,0.0,2.0,6.0,4.0,635325,2022-06-27 20:00:00,2022
Central Córdoba (Santiago del Estero),4.0,1.0,0.0,40.6,9.0,5.0,0.0,2.0,2.0,0.0,Argentinos Juniors,13.0,4.0,7.0,59.4,6.0,2.0,0.0,1.0,0.0,2.0,635340,2022-07-01 19:00:00,2022
Boca Juniors,13.0,5.0,7.0,65.7,11.0,3.0,0.0,1.0,2.0,4.0,Banfield,11.0,5.0,1.0,34.3,20.0,2.0,0.0,1.0,5.0,1.0,635341,2022-07-01 21:30:00,2022
Tigre,21.0,8.0,11.0,49.1,8.0,3.0,0.0,1.0,1.0,4.0,Talleres (Córdoba),7.0,2.0,4.0,50.9,12.0,4.0,0.0,0.0,7.0,1.0,635333,2022-07-02 15:30:00,2022
Godoy Cruz Antonio Tomba,17.0,5.0,10.0,52.9,7.0,1.0,0.0,0.0,0.0,5.0,Colón (Santa Fe),4.0,0.0,2.0,47.1,10.0,2.0,0.0,1.0,4.0,1.0,635345,2022-07-02 18:00:00,2022
Vélez Sarsfield,12.0,2.0,3.0,67.9,15.0,4.0,0.0,0.0,4.0,4.0,Atlético Tucumán,13.0,5.0,5.0,32.1,11.0,2.0,0.0,1.0,2.0,3.0,635338,2022-07-02 18:00:00,2022
Gimnasia La Plata,13.0,4.0,10.0,38.7,13.0,3.0,0.0,1.0,6.0,4.0,Defensa y Justicia,14.0,6.0,7.0,61.3,15.0,2.0,0.0,4.0,3.0,6.0,635339,2022-07-02 20:30:00,2022
Unión (Santa Fe),11.0,7.0,2.0,36.8,16.0,1.0,0.0,1.0,3.0,0.0,Lanús,17.0,3.0,5.0,63.2,16.0,3.0,1.0,0.0,4.0,8.0,635332,2022-07-03 13:00:00,2022
Barracas Central,8.0,2.0,0.0,45.6,19.0,2.0,0.0,1.0,3.0,1.0,San Lorenzo,12.0,4.0,2.0,54.4,15.0,2.0,0.0,6.0,0.0,2.0,635342,2022-07-03 15:00:00,2022
Sarmiento (Junín),11.0,4.0,4.0,25.8,15.0,6.0,0.0,0.0,8.0,4.0,Racing Club,21.0,10.0,8.0,74.2,11.0,3.0,0.0,0.0,3.0,3.0,635334,2022-07-03 18:00:00,2022
Huracán,10.0,7.0,6.0,45.2,15.0,2.0,0.0,3.0,1.0,0.0,River Plate,12.0,3.0,2.0,54.8,17.0,2.0,1.0,1.0,4.0,3.0,635337,2022-07-03 21:00:00,2022
Arsenal Sarandi,15.0,6.0,3.0,37.8,8.0,3.0,0.0,5.0,3.0,4.0,Estudiantes de La Plata,11.0,4.0,2.0,62.2,12.0,2.0,0.0,1.0,4.0,3.0,635343,2022-07-04 17:00:00,2022
Aldosivi,11.0,4.0,5.0,45.9,18.0,2.0,0.0,2.0,4.0,6.0,Rosario Central,13.0,5.0,6.0,54.1,14.0,3.0,0.0,4.0,1.0,4.0,635344,2022-07-04 19:00:00,2022
Newell's Old Boys,13.0,5.0,6.0,41.5,11.0,3.0,0.0,2.0,2.0,2.0,Patronato,8.0,4.0,2.0,58.5,16.0,1.0,0.0,1.0,3.0,0.0,635335,2022-07-04 19:00:00,2022
Independiente,13.0,5.0,4.0,65.9,16.0,3.0,0.0,1.0,5.0,3.0,Platense,14.0,8.0,5.0,34.1,11.0,2.0,0.0,1.0,4.0,3.0,635336,2022-07-04 21:30:00,2022
Rosario Central,23.0,5.0,11.0,71.2,11.0,0.0,0.0,0.0,3.0,4.0,Sarmiento (Junín),6.0,3.0,0.0,28.8,9.0,3.0,1.0,2.0,4.0,2.0,635347,2022-07-08 20:00:00,2022
Patronato,18.0,3.0,7.0,63.9,10.0,2.0,0.0,1.0,2.0,8.0,Arsenal Sarandi,9.0,3.0,4.0,36.1,16.0,3.0,0.0,3.0,3.0,2.0,635351,2022-07-09 13:00:00,2022
San Lorenzo,14.0,7.0,5.0,31.7,15.0,3.0,0.0,0.0,1.0,0.0,Boca Juniors,9.0,2.0,4.0,68.3,13.0,4.0,0.0,1.0,5.0,3.0,635346,2022-07-09 15:30:00,2022
Banfield,19.0,7.0,12.0,64.6,9.0,1.0,0.0,4.0,2.0,4.0,Unión (Santa Fe),8.0,5.0,2.0,35.4,8.0,4.0,0.0,0.0,4.0,0.0,635356,2022-07-09 18:00:00,2022
Platense,12.0,4.0,3.0,48.7,12.0,1.0,0.0,1.0,2.0,3.0,Newell's Old Boys,9.0,2.0,5.0,51.3,14.0,2.0,0.0,2.0,3.0,1.0,635350,2022-07-09 20:30:00,2022
Talleres (Córdoba),14.0,5.0,4.0,71.8,17.0,2.0,0.0,0.0,4.0,2.0,Barracas Central,10.0,6.0,2.0,28.2,13.0,2.0,0.0,0.0,5.0,1.0,635359,2022-07-09 20:30:00,2022
Estudiantes de La Plata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Córdoba (Santiago del Estero),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635353,2022-07-10 13:00:00,2022
Racing Club,14.0,4.0,4.0,49.2,18.0,3.0,0.0,3.0,4.0,3.0,Independiente,16.0,4.0,2.0,50.8,19.0,6.0,0.0,1.0,3.0,4.0,635349,2022-07-10 15:30:00,2022
Atlético Tucumán,11.0,5.0,7.0,47.1,15.0,3.0,0.0,1.0,3.0,2.0,Gimnasia La Plata,7.0,3.0,4.0,52.9,14.0,3.0,0.0,1.0,3.0,2.0,635357,2022-07-10 18:00:00,2022
Lanús,12.0,6.0,3.0,57.5,7.0,3.0,0.0,0.0,1.0,0.0,Huracán,8.0,4.0,4.0,42.5,18.0,3.0,0.0,0.0,4.0,1.0,635352,2022-07-10 18:00:00,2022
River Plate,18.0,8.0,9.0,69.1,11.0,2.0,1.0,0.0,2.0,7.0,Godoy Cruz Antonio Tomba,8.0,4.0,0.0,30.9,11.0,2.0,1.0,0.0,8.0,2.0,635348,2022-07-10 20:30:00,2022
Colón (Santa Fe),10.0,5.0,5.0,35.9,5.0,0.0,1.0,1.0,2.0,0.0,Vélez Sarsfield,14.0,3.0,9.0,64.1,6.0,1.0,0.0,0.0,2.0,4.0,635355,2022-07-11 19:00:00,2022
Defensa y Justicia,19.0,6.0,3.0,61.1,9.0,0.0,0.0,0.0,2.0,2.0,Aldosivi,9.0,4.0,5.0,38.9,13.0,3.0,1.0,0.0,3.0,1.0,635354,2022-07-11 19:00:00,2022
Argentinos Juniors,13.0,4.0,4.0,45.6,12.0,2.0,1.0,1.0,3.0,4.0,Tigre,11.0,4.0,6.0,54.4,7.0,2.0,1.0,1.0,2.0,1.0,635358,2022-07-11 21:30:00,2022
Central Córdoba (Santiago del Estero),16.0,7.0,10.0,50.6,8.0,1.0,0.0,1.0,1.0,1.0,Patronato,10.0,4.0,7.0,49.4,11.0,2.0,0.0,0.0,6.0,3.0,635370,2022-07-14 21:00:00,2022
Sarmiento (Junín),11.0,7.0,3.0,38.9,10.0,1.0,1.0,1.0,6.0,0.0,Defensa y Justicia,18.0,7.0,9.0,61.1,10.0,3.0,0.0,2.0,5.0,4.0,635365,2022-07-15 19:00:00,2022
Aldosivi,7.0,1.0,0.0,56.9,15.0,0.0,0.0,0.0,3.0,2.0,Atlético Tucumán,18.0,4.0,5.0,43.1,17.0,2.0,0.0,1.0,1.0,9.0,635360,2022-07-15 21:30:00,2022
Arsenal Sarandi,6.0,3.0,1.0,52.4,11.0,4.0,0.0,0.0,3.0,1.0,Platense,15.0,4.0,5.0,47.6,15.0,2.0,0.0,0.0,2.0,4.0,635361,2022-07-15 21:30:00,2022
Barracas Central,13.0,7.0,4.0,38.9,10.0,2.0,0.0,2.0,2.0,1.0,Argentinos Juniors,7.0,5.0,7.0,61.1,12.0,2.0,0.0,2.0,6.0,2.0,635372,2022-07-16 13:00:00,2022
Gimnasia La Plata,19.0,2.0,6.0,56.5,11.0,3.0,0.0,1.0,0.0,10.0,Colón (Santa Fe),5.0,1.0,1.0,43.5,14.0,1.0,0.0,4.0,2.0,0.0,635369,2022-07-16 15:30:00,2022
Independiente,8.0,0.0,7.0,60.4,18.0,4.0,0.0,4.0,4.0,2.0,Rosario Central,13.0,4.0,5.0,39.6,19.0,4.0,0.0,4.0,0.0,3.0,635367,2022-07-16 15:30:00,2022
Newell's Old Boys,6.0,2.0,2.0,31.4,13.0,2.0,0.0,0.0,5.0,1.0,Racing Club,10.0,4.0,8.0,68.6,13.0,4.0,0.0,2.0,2.0,4.0,635366,2022-07-16 18:00:00,2022
Boca Juniors,14.0,2.0,6.0,62.6,16.0,4.0,0.0,1.0,2.0,4.0,Talleres (Córdoba),8.0,2.0,6.0,37.4,12.0,2.0,1.0,2.0,1.0,3.0,635371,2022-07-16 20:30:00,2022
Godoy Cruz Antonio Tomba,23.0,8.0,8.0,39.6,10.0,3.0,0.0,4.0,0.0,9.0,Lanús,7.0,1.0,5.0,60.4,8.0,1.0,0.0,1.0,6.0,3.0,635368,2022-07-17 13:00:00,2022
Unión (Santa Fe),9.0,4.0,2.0,48.1,16.0,2.0,1.0,0.0,3.0,3.0,Huracán,11.0,3.0,3.0,51.9,16.0,4.0,0.0,4.0,4.0,4.0,635363,2022-07-17 13:00:00,2022
Banfield,20.0,7.0,11.0,60.1,12.0,1.0,0.0,0.0,1.0,4.0,San Lorenzo,7.0,3.0,2.0,39.9,17.0,2.0,0.0,0.0,6.0,2.0,635373,2022-07-17 15:30:00,2022
Tigre,10.0,5.0,1.0,37.7,9.0,2.0,0.0,3.0,4.0,0.0,Estudiantes de La Plata,12.0,5.0,4.0,62.3,10.0,2.0,0.0,4.0,3.0,4.0,635364,2022-07-17 18:00:00,2022
Vélez Sarsfield,17.0,6.0,8.0,58.5,14.0,5.0,0.0,0.0,1.0,4.0,River Plate,12.0,3.0,3.0,41.5,11.0,5.0,0.0,0.0,4.0,2.0,635362,2022-07-17 20:30:00,2022
Colón (Santa Fe),10.0,5.0,5.0,37.7,14.0,2.0,1.0,1.0,4.0,2.0,Aldosivi,19.0,5.0,7.0,62.3,13.0,2.0,0.0,1.0,4.0,4.0,635385,2022-07-19 16:30:00,2022
Platense,14.0,8.0,10.0,46.4,10.0,1.0,1.0,1.0,6.0,3.0,Central Córdoba (Santiago del Estero),16.0,6.0,5.0,53.6,7.0,2.0,1.0,2.0,6.0,6.0,635379,2022-07-19 17:00:00,2022
Atlético Tucumán,25.0,8.0,7.0,63.2,12.0,2.0,0.0,2.0,2.0,6.0,Sarmiento (Junín),7.0,2.0,0.0,36.8,11.0,3.0,0.0,0.0,6.0,0.0,635386,2022-07-19 19:00:00,2022
Racing Club,28.0,6.0,7.0,71.5,8.0,1.0,0.0,0.0,3.0,8.0,Arsenal Sarandi,7.0,4.0,0.0,28.5,10.0,3.0,0.0,1.0,5.0,1.0,635378,2022-07-19 19:00:00,2022
Argentinos Juniors,9.0,5.0,3.0,37.1,16.0,1.0,0.0,0.0,1.0,0.0,Boca Juniors,6.0,1.0,2.0,62.9,13.0,3.0,0.0,1.0,3.0,2.0,635374,2022-07-19 21:30:00,2022
San Lorenzo,3.0,2.0,0.0,36.8,14.0,2.0,0.0,1.0,4.0,0.0,Unión (Santa Fe),20.0,6.0,13.0,63.2,11.0,2.0,0.0,1.0,0.0,4.0,635375,2022-07-20 14:00:00,2022
Patronato,12.0,5.0,5.0,42.7,16.0,4.0,0.0,0.0,4.0,2.0,Tigre,23.0,4.0,6.0,57.3,4.0,1.0,0.0,2.0,4.0,5.0,635387,2022-07-20 16:30:00,2022
Defensa y Justicia,13.0,4.0,3.0,40.0,9.0,1.0,1.0,0.0,4.0,1.0,Independiente,12.0,5.0,5.0,60.0,13.0,6.0,0.0,4.0,2.0,5.0,635384,2022-07-20 19:00:00,2022
Estudiantes de La Plata,23.0,6.0,10.0,63.5,7.0,2.0,0.0,1.0,3.0,4.0,Barracas Central,5.0,4.0,2.0,36.5,14.0,3.0,0.0,1.0,3.0,0.0,635383,2022-07-20 19:00:00,2022
Huracán,20.0,2.0,6.0,53.4,7.0,3.0,0.0,1.0,1.0,5.0,Godoy Cruz Antonio Tomba,15.0,2.0,7.0,46.6,14.0,3.0,1.0,2.0,1.0,3.0,635382,2022-07-20 21:30:00,2022
Lanús,7.0,3.0,3.0,35.2,8.0,3.0,1.0,1.0,4.0,2.0,Vélez Sarsfield,11.0,6.0,2.0,64.8,15.0,4.0,0.0,0.0,1.0,2.0,635381,2022-07-20 21:30:00,2022
Rosario Central,7.0,3.0,4.0,38.5,8.0,3.0,0.0,1.0,3.0,2.0,Newell's Old Boys,9.0,3.0,4.0,61.5,18.0,5.0,0.0,2.0,2.0,0.0,635376,2022-07-21 16:30:00,2022
Talleres (Córdoba),17.0,5.0,7.0,48.9,12.0,1.0,0.0,3.0,3.0,4.0,Banfield,8.0,3.0,0.0,51.1,18.0,3.0,0.0,0.0,4.0,1.0,635380,2022-07-21 19:00:00,2022
River Plate,20.0,9.0,7.0,61.3,15.0,1.0,0.0,1.0,3.0,3.0,Gimnasia La Plata,9.0,3.0,4.0,38.7,18.0,3.0,0.0,3.0,7.0,4.0,635377,2022-07-21 21:30:00,2022
Sarmiento (Junín),23.0,7.0,4.0,55.4,7.0,3.0,0.0,1.0,1.0,6.0,Colón (Santa Fe),13.0,4.0,5.0,44.6,14.0,4.0,0.0,1.0,6.0,2.0,635390,2022-07-23 15:30:00,2022
Central Córdoba (Santiago del Estero),11.0,2.0,4.0,33.6,6.0,0.0,0.0,3.0,3.0,3.0,Racing Club,16.0,6.0,5.0,66.4,12.0,3.0,0.0,0.0,1.0,2.0,635399,2022-07-23 20:30:00,2022
Independiente,11.0,3.0,9.0,62.7,16.0,2.0,0.0,3.0,2.0,4.0,Atlético Tucumán,6.0,3.0,1.0,37.3,9.0,2.0,0.0,3.0,3.0,0.0,635401,2022-07-24 11:00:00,2022
Tigre,20.0,6.0,3.0,59.7,9.0,2.0,0.0,0.0,2.0,4.0,Platense,8.0,2.0,5.0,40.3,18.0,4.0,0.0,3.0,3.0,2.0,635391,2022-07-24 13:15:00,2022
Aldosivi,6.0,1.0,3.0,31.3,10.0,0.0,0.0,4.0,6.0,2.0,River Plate,19.0,9.0,9.0,68.7,11.0,0.0,0.0,1.0,1.0,2.0,635394,2022-07-24 15:30:00,2022
Gimnasia La Plata,20.0,7.0,2.0,42.7,14.0,3.0,0.0,0.0,3.0,6.0,Lanús,9.0,3.0,9.0,57.3,16.0,4.0,1.0,3.0,5.0,3.0,635400,2022-07-24 18:00:00,2022
Boca Juniors,20.0,6.0,8.0,55.2,14.0,4.0,0.0,2.0,2.0,4.0,Estudiantes de La Plata,10.0,4.0,3.0,44.8,16.0,2.0,0.0,2.0,3.0,2.0,635398,2022-07-24 20:30:00,2022
San Lorenzo,18.0,5.0,7.0,60.6,14.0,4.0,0.0,0.0,3.0,7.0,Talleres (Córdoba),10.0,4.0,3.0,39.4,7.0,4.0,1.0,0.0,4.0,3.0,635389,2022-07-25 16:30:00,2022
Banfield,7.0,2.0,1.0,38.7,17.0,4.0,0.0,1.0,1.0,2.0,Argentinos Juniors,15.0,2.0,1.0,61.3,12.0,2.0,0.0,0.0,1.0,7.0,635396,2022-07-25 19:00:00,2022
Newell's Old Boys,21.0,7.0,11.0,70.1,14.0,6.0,0.0,2.0,2.0,2.0,Defensa y Justicia,5.0,4.0,1.0,29.9,18.0,3.0,0.0,1.0,5.0,1.0,635388,2022-07-25 19:00:00,2022
Unión (Santa Fe),22.0,8.0,6.0,51.8,13.0,1.0,0.0,3.0,3.0,5.0,Godoy Cruz Antonio Tomba,17.0,4.0,5.0,48.2,9.0,1.0,1.0,4.0,6.0,7.0,635392,2022-07-25 21:30:00,2022
Vélez Sarsfield,11.0,4.0,3.0,49.5,12.0,4.0,0.0,1.0,5.0,2.0,Huracán,14.0,6.0,4.0,50.5,8.0,4.0,0.0,1.0,3.0,1.0,635393,2022-07-25 21:30:00,2022
Arsenal Sarandi,8.0,5.0,5.0,38.4,7.0,0.0,1.0,2.0,3.0,0.0,Rosario Central,16.0,6.0,6.0,61.6,12.0,1.0,0.0,0.0,5.0,4.0,635395,2022-07-26 20:00:00,2022
Barracas Central,8.0,4.0,4.0,47.8,10.0,3.0,0.0,1.0,6.0,1.0,Patronato,16.0,7.0,8.0,52.2,19.0,3.0,1.0,4.0,2.0,6.0,635397,2022-07-26 20:00:00,2022
Godoy Cruz Antonio Tomba,15.0,5.0,2.0,42.6,8.0,2.0,0.0,1.0,0.0,4.0,Vélez Sarsfield,6.0,1.0,5.0,57.4,16.0,3.0,0.0,1.0,4.0,0.0,635407,2022-07-29 20:00:00,2022
Argentinos Juniors,7.0,0.0,4.0,65.9,12.0,0.0,0.0,4.0,3.0,1.0,San Lorenzo,11.0,5.0,3.0,34.1,16.0,2.0,0.0,3.0,0.0,1.0,635402,2022-07-30 15:30:00,2022
Estudiantes de La Plata,14.0,7.0,7.0,50.7,9.0,2.0,0.0,0.0,3.0,2.0,Banfield,10.0,3.0,2.0,49.3,14.0,4.0,0.0,1.0,6.0,2.0,635406,2022-07-30 18:00:00,2022
Atlético Tucumán,12.0,3.0,4.0,36.8,19.0,3.0,0.0,1.0,2.0,3.0,Newell's Old Boys,9.0,2.0,3.0,63.2,10.0,3.0,0.0,0.0,1.0,3.0,635403,2022-07-30 20:30:00,2022
Huracán,14.0,1.0,2.0,67.5,10.0,3.0,0.0,3.0,1.0,4.0,Gimnasia La Plata,8.0,1.0,4.0,32.5,12.0,6.0,0.0,0.0,1.0,4.0,635415,2022-07-30 20:30:00,2022
Lanús,19.0,6.0,8.0,56.7,9.0,3.0,0.0,4.0,2.0,3.0,Aldosivi,11.0,3.0,2.0,43.3,16.0,5.0,0.0,2.0,6.0,4.0,635409,2022-07-31 13:00:00,2022
