local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Puebla,21.0,2.0,0.0,2.0,2.0,5.0,46.6,10.0,4.0,0.4,0.0,0.0,267.0,354.0,0.8,6.0,12.0,0.5,63.0,28.0,0.4,2.0,17.0,21.0,0.8,11.0,15.0,15.0,Guadalajara,14.0,1.0,0.0,2.0,5.0,3.0,53.4,11.0,6.0,0.5,0.0,1.0,330.0,413.0,0.8,2.0,12.0,0.2,53.0,21.0,0.4,2.0,9.0,19.0,0.5,14.0,8.0,8.0,591027,2021-01-09 01:30:00,2021
Mazatlán FC,13.0,0.0,0.0,2.0,4.0,2.0,42.9,10.0,4.0,0.4,1.0,1.0,212.0,282.0,0.8,3.0,11.0,0.3,45.0,18.0,0.4,4.0,3.0,14.0,0.2,14.0,25.0,25.0,Necaxa,16.0,3.0,0.0,2.0,5.0,1.0,57.1,16.0,4.0,0.3,0.0,0.0,297.0,368.0,0.8,3.0,21.0,0.1,45.0,25.0,0.6,3.0,3.0,6.0,0.5,17.0,9.0,9.0,591025,2021-01-09 03:30:00,2021
FC Juarez,14.0,1.0,0.0,0.0,8.0,2.0,49.0,14.0,3.0,0.2,0.0,1.0,264.0,351.0,0.8,6.0,30.0,0.2,80.0,43.0,0.5,5.0,11.0,21.0,0.5,13.0,17.0,17.0,Tijuana,26.0,4.0,0.0,2.0,2.0,3.0,51.0,10.0,2.0,0.2,0.0,0.0,303.0,378.0,0.8,2.0,22.0,0.1,47.0,21.0,0.4,1.0,7.0,10.0,0.7,15.0,28.0,28.0,591017,2021-01-16 03:30:00,2021
Monterrey,17.0,1.0,0.0,0.0,2.0,1.0,47.6,10.0,3.0,0.3,1.0,1.0,306.0,390.0,0.8,4.0,16.0,0.3,52.0,24.0,0.5,4.0,14.0,24.0,0.6,19.0,15.0,15.0,América,13.0,2.0,1.0,2.0,5.0,2.0,52.4,4.0,1.0,0.3,0.0,0.0,340.0,433.0,0.8,0.0,15.0,0.0,67.0,42.0,0.6,1.0,14.0,18.0,0.8,13.0,17.0,17.0,591014,2021-01-17 03:06:00,2021
Pachuca,9.0,1.0,0.0,1.0,9.0,1.0,59.3,21.0,6.0,0.3,0.0,0.0,340.0,411.0,0.8,11.0,32.0,0.3,53.0,33.0,0.6,3.0,6.0,9.0,0.7,15.0,6.0,6.0,Cruz Azul,9.0,2.0,0.0,1.0,4.0,5.0,40.7,6.0,2.0,0.3,0.0,0.0,209.0,297.0,0.7,1.0,6.0,0.2,59.0,20.0,0.3,2.0,2.0,10.0,0.2,6.0,19.0,19.0,591001,2021-01-26 03:00:00,2021
Tigres UANL,17.0,1.0,0.0,2.0,5.0,4.0,39.3,23.0,9.0,0.4,0.0,0.0,317.0,372.0,0.9,10.0,24.0,0.4,70.0,45.0,0.6,4.0,9.0,20.0,0.5,12.0,9.0,9.0,León,9.0,1.0,0.0,3.0,1.0,6.0,60.7,10.0,4.0,0.4,0.0,0.0,521.0,600.0,0.9,3.0,13.0,0.2,45.0,25.0,0.6,2.0,10.0,19.0,0.5,4.0,14.0,14.0,591023,2021-01-10 01:00:00,2021
Querétaro,11.0,3.0,0.0,2.0,5.0,4.0,40.3,8.0,2.0,0.3,0.0,0.0,190.0,284.0,0.7,6.0,18.0,0.3,68.0,33.0,0.5,1.0,9.0,13.0,0.7,4.0,14.0,14.0,Pumas UNAM,13.0,1.0,0.0,1.0,4.0,0.0,59.7,9.0,4.0,0.4,0.0,0.0,358.0,425.0,0.8,7.0,22.0,0.3,61.0,40.0,0.7,0.0,10.0,17.0,0.6,15.0,12.0,12.0,591002,2021-01-25 01:00:00,2021
Santos,11.0,1.0,0.0,1.0,3.0,5.0,40.4,20.0,7.0,0.4,0.0,0.0,223.0,305.0,0.7,5.0,17.0,0.3,53.0,19.0,0.4,3.0,10.0,16.0,0.6,7.0,16.0,16.0,Tigres UANL,13.0,1.0,0.0,0.0,4.0,4.0,59.6,13.0,5.0,0.4,0.0,1.0,378.0,458.0,0.8,6.0,19.0,0.3,70.0,41.0,0.6,5.0,9.0,15.0,0.6,11.0,13.0,13.0,591012,2021-01-18 01:06:00,2021
Tijuana,18.0,2.0,0.0,4.0,5.0,8.0,61.6,11.0,3.0,0.3,0.0,0.0,389.0,472.0,0.8,6.0,16.0,0.4,57.0,40.0,0.7,1.0,5.0,14.0,0.4,21.0,15.0,15.0,Pumas UNAM,9.0,0.0,0.0,0.0,7.0,3.0,38.4,18.0,8.0,0.4,0.0,0.0,204.0,288.0,0.7,3.0,17.0,0.2,55.0,23.0,0.4,4.0,17.0,21.0,0.8,17.0,10.0,10.0,591026,2021-01-09 03:06:00,2021
Toluca,17.0,2.0,0.0,0.0,8.0,5.0,55.4,20.0,8.0,0.4,1.0,1.0,328.0,395.0,0.8,5.0,19.0,0.3,50.0,24.0,0.5,7.0,4.0,9.0,0.4,12.0,23.0,23.0,Necaxa,14.0,4.0,1.0,0.0,3.0,6.0,44.6,12.0,5.0,0.4,0.0,0.0,249.0,310.0,0.8,1.0,20.0,0.1,51.0,28.0,0.5,4.0,11.0,15.0,0.7,12.0,15.0,15.0,591003,2021-01-24 18:00:00,2021
