local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Paris Saint-Germain,11.0,4.0,0.0,0.0,2.0,9.0,27.9,7.0,3.0,0.4,1.0,1.0,259.0,328.0,0.8,2.0,6.0,0.3,38.0,14.0,0.4,0.0,12.0,26.0,0.5,20.0,29.0,29.0,Barcelona,9.0,3.0,0.0,1.0,9.0,2.0,72.1,21.0,10.0,0.5,0.0,1.0,770.0,854.0,0.9,6.0,19.0,0.3,30.0,25.0,0.8,5.0,8.0,15.0,0.5,11.0,2.0,2.0,590714,2021-03-10 20:00:00,2021
Liverpool,18.0,0.0,0.0,4.0,5.0,2.0,40.5,12.0,7.0,0.6,0.0,0.0,313.0,436.0,0.7,4.0,9.0,0.4,66.0,28.0,0.4,1.0,13.0,18.0,0.7,14.0,15.0,15.0,RB Leipzig,7.0,0.0,0.0,3.0,1.0,5.0,59.5,11.0,2.0,0.2,0.0,0.0,529.0,641.0,0.8,3.0,8.0,0.4,68.0,35.0,0.5,1.0,10.0,21.0,0.5,21.0,14.0,14.0,590718,2021-03-10 20:00:00,2021
Manchester City,4.0,2.0,0.0,2.0,7.0,3.0,67.4,10.0,6.0,0.6,0.0,0.0,781.0,849.0,0.9,1.0,15.0,0.1,38.0,24.0,0.6,1.0,7.0,14.0,0.5,5.0,9.0,9.0,Borussia Mönchengladbach,8.0,1.0,0.0,2.0,2.0,4.0,32.6,6.0,3.0,0.5,0.0,0.0,344.0,408.0,0.8,0.0,7.0,0.0,42.0,17.0,0.4,0.0,10.0,17.0,0.6,6.0,17.0,17.0,590715,2021-03-16 20:00:00,2021
Real Madrid,14.0,3.0,0.0,0.0,0.0,4.0,52.7,12.0,6.0,0.5,1.0,1.0,470.0,551.0,0.9,2.0,4.0,0.5,58.0,22.0,0.4,3.0,7.0,15.0,0.5,21.0,19.0,19.0,Atalanta,13.0,1.0,0.0,0.0,5.0,3.0,47.3,13.0,5.0,0.4,0.0,0.0,393.0,480.0,0.8,5.0,20.0,0.3,42.0,26.0,0.6,3.0,9.0,14.0,0.6,12.0,6.0,6.0,590712,2021-03-16 20:00:00,2021
Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lazio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590717,2021-03-17 20:00:00,2021
Chelsea,11.0,1.0,0.0,1.0,6.0,4.0,56.3,16.0,5.0,0.3,0.0,0.0,494.0,583.0,0.8,3.0,20.0,0.2,50.0,26.0,0.5,4.0,6.0,8.0,0.8,9.0,21.0,21.0,Atlético Madrid,11.0,4.0,1.0,2.0,5.0,3.0,43.7,10.0,4.0,0.4,0.0,0.0,354.0,454.0,0.8,3.0,12.0,0.3,59.0,26.0,0.4,3.0,9.0,17.0,0.5,16.0,22.0,22.0,590713,2021-03-17 20:00:00,2021
Real Madrid,6.0,1.0,0.0,3.0,5.0,0.0,45.6,16.0,7.0,0.4,0.0,0.0,415.0,505.0,0.8,2.0,10.0,0.2,78.0,45.0,0.6,6.0,12.0,23.0,0.5,12.0,14.0,14.0,Liverpool,11.0,3.0,0.0,0.0,3.0,4.0,54.4,7.0,1.0,0.1,0.0,0.0,520.0,606.0,0.9,1.0,14.0,0.1,38.0,22.0,0.6,3.0,4.0,9.0,0.4,16.0,10.0,10.0,596890,2021-04-06 19:00:00,2021
Manchester City,9.0,0.0,0.0,1.0,4.0,2.0,61.5,11.0,5.0,0.5,0.0,0.0,640.0,704.0,0.9,2.0,15.0,0.1,40.0,25.0,0.6,2.0,7.0,11.0,0.6,9.0,10.0,10.0,Borussia Dortmund,8.0,2.0,0.0,0.0,2.0,4.0,38.5,7.0,3.0,0.4,0.0,0.0,384.0,447.0,0.9,0.0,3.0,0.0,52.0,29.0,0.6,3.0,5.0,13.0,0.4,7.0,16.0,16.0,596888,2021-04-06 19:00:00,2021
Bayern Munich,16.0,4.0,0.0,1.0,15.0,1.0,63.6,31.0,12.0,0.4,0.0,0.0,456.0,523.0,0.9,14.0,44.0,0.3,51.0,40.0,0.8,10.0,7.0,20.0,0.4,12.0,3.0,3.0,Paris Saint-Germain,7.0,1.0,0.0,3.0,1.0,10.0,36.4,6.0,5.0,0.8,0.0,0.0,240.0,316.0,0.8,0.0,6.0,0.0,48.0,19.0,0.4,0.0,7.0,11.0,0.6,7.0,45.0,45.0,596891,2021-04-07 19:00:00,2021
FC Porto,11.0,2.0,0.0,5.0,9.0,1.0,39.7,12.0,5.0,0.4,0.0,0.0,271.0,343.0,0.8,7.0,19.0,0.4,61.0,31.0,0.5,4.0,7.0,15.0,0.5,7.0,11.0,11.0,Chelsea,17.0,0.0,0.0,2.0,4.0,5.0,60.3,6.0,3.0,0.5,0.0,0.0,460.0,539.0,0.9,4.0,13.0,0.3,69.0,29.0,0.4,0.0,9.0,13.0,0.7,9.0,26.0,26.0,596889,2021-04-07 19:00:00,2021
