local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Cagliari,18.0,4.0,1.0,1.0,7.0,2.0,61.5,12.0,5.0,0.4,0.0,0.0,440.0,505.0,0.9,6.0,33.0,0.2,41.0,25.0,0.6,1.0,7.0,11.0,0.6,7.0,17.0,17.0,Benevento,12.0,3.0,0.0,2.0,6.0,4.0,38.5,10.0,4.0,0.4,0.0,0.0,250.0,322.0,0.8,6.0,17.0,0.4,62.0,25.0,0.4,3.0,13.0,17.0,0.8,5.0,29.0,29.0,583000,2021-01-06 11:30:00,2021
Crotone,15.0,2.0,0.0,0.0,3.0,1.0,52.4,13.0,5.0,0.4,0.0,0.0,432.0,523.0,0.8,4.0,12.0,0.3,53.0,24.0,0.5,2.0,9.0,17.0,0.5,16.0,13.0,13.0,AS Roma,17.0,3.0,0.0,1.0,4.0,3.0,47.6,12.0,4.0,0.3,1.0,1.0,397.0,478.0,0.8,3.0,12.0,0.3,61.0,29.0,0.5,5.0,13.0,25.0,0.5,19.0,9.0,9.0,583007,2021-01-06 14:00:00,2021
Lazio,11.0,3.0,0.0,3.0,2.0,4.0,45.3,13.0,3.0,0.2,0.0,0.0,346.0,409.0,0.8,4.0,9.0,0.4,44.0,27.0,0.6,6.0,16.0,25.0,0.6,13.0,29.0,29.0,Fiorentina,11.0,1.0,0.0,0.0,9.0,1.0,54.7,12.0,5.0,0.4,1.0,1.0,414.0,478.0,0.9,9.0,31.0,0.3,51.0,34.0,0.7,5.0,11.0,17.0,0.6,12.0,9.0,9.0,583001,2021-01-06 14:00:00,2021
Atalanta,10.0,1.0,0.0,3.0,12.0,0.0,51.5,17.0,6.0,0.4,0.0,0.0,463.0,531.0,0.9,7.0,32.0,0.2,30.0,17.0,0.6,2.0,11.0,17.0,0.6,8.0,12.0,12.0,Parma,6.0,1.0,0.0,1.0,3.0,3.0,48.5,2.0,0.0,0.0,0.0,0.0,446.0,517.0,0.9,1.0,11.0,0.1,78.0,53.0,0.7,1.0,11.0,19.0,0.6,15.0,25.0,25.0,583006,2021-01-06 14:00:00,2021
Bologna,16.0,2.0,1.0,1.0,4.0,4.0,37.4,10.0,6.0,0.6,0.0,0.0,250.0,318.0,0.8,3.0,7.0,0.4,44.0,20.0,0.5,1.0,9.0,16.0,0.6,8.0,28.0,28.0,Udinese,13.0,3.0,0.0,2.0,6.0,4.0,62.6,17.0,6.0,0.4,0.0,0.0,445.0,514.0,0.9,7.0,33.0,0.2,32.0,14.0,0.4,7.0,9.0,14.0,0.6,7.0,10.0,10.0,583009,2021-01-06 14:00:00,2021
Sassuolo,14.0,3.0,0.0,0.0,8.0,1.0,63.8,17.0,3.0,0.2,0.0,0.0,568.0,648.0,0.9,2.0,19.0,0.1,51.0,31.0,0.6,7.0,11.0,16.0,0.7,22.0,9.0,9.0,Genoa,10.0,3.0,0.0,1.0,2.0,2.0,36.2,7.0,2.0,0.3,0.0,0.0,272.0,363.0,0.7,4.0,13.0,0.3,61.0,20.0,0.3,2.0,10.0,15.0,0.7,13.0,26.0,26.0,583002,2021-01-06 14:00:00,2021
Sampdoria,13.0,3.0,0.0,1.0,4.0,6.0,38.1,10.0,3.0,0.3,1.0,1.0,236.0,322.0,0.7,4.0,9.0,0.4,65.0,22.0,0.3,6.0,6.0,9.0,0.7,14.0,21.0,21.0,Internazionale,18.0,4.0,0.0,3.0,10.0,1.0,61.9,24.0,7.0,0.3,0.0,1.0,421.0,509.0,0.8,11.0,31.0,0.4,36.0,21.0,0.6,3.0,6.0,8.0,0.8,6.0,6.0,6.0,583004,2021-01-06 14:00:00,2021
Torino,12.0,1.0,0.0,1.0,9.0,1.0,45.4,17.0,2.0,0.1,0.0,0.0,266.0,369.0,0.7,5.0,24.0,0.2,70.0,29.0,0.4,10.0,7.0,10.0,0.7,15.0,15.0,15.0,Hellas Verona,18.0,3.0,0.0,2.0,3.0,1.0,54.6,8.0,2.0,0.3,0.0,0.0,346.0,453.0,0.8,1.0,15.0,0.1,60.0,22.0,0.4,2.0,3.0,7.0,0.4,11.0,24.0,24.0,583003,2021-01-06 14:00:00,2021
Napoli,9.0,2.0,0.0,4.0,10.0,1.0,62.2,29.0,10.0,0.3,0.0,0.0,510.0,593.0,0.9,8.0,28.0,0.3,55.0,34.0,0.6,11.0,5.0,8.0,0.6,9.0,5.0,5.0,Spezia,16.0,3.0,1.0,2.0,2.0,8.0,37.8,9.0,3.0,0.3,1.0,1.0,288.0,365.0,0.8,2.0,8.0,0.3,73.0,37.0,0.5,1.0,7.0,16.0,0.4,8.0,27.0,27.0,583008,2021-01-06 17:00:00,2021
AC Milan,17.0,1.0,0.0,0.0,7.0,3.0,42.6,20.0,8.0,0.4,0.0,0.0,328.0,380.0,0.9,3.0,18.0,0.2,35.0,21.0,0.6,4.0,7.0,15.0,0.5,11.0,18.0,18.0,Juventus,11.0,2.0,0.0,0.0,4.0,8.0,57.4,14.0,6.0,0.4,0.0,0.0,455.0,525.0,0.9,4.0,14.0,0.3,46.0,27.0,0.6,4.0,7.0,14.0,0.5,6.0,16.0,16.0,583005,2021-01-06 19:45:00,2021
Benevento,13.0,3.0,0.0,0.0,1.0,8.0,41.3,5.0,2.0,0.4,0.0,0.0,269.0,370.0,0.7,3.0,6.0,0.5,64.0,30.0,0.5,1.0,5.0,8.0,0.6,9.0,21.0,21.0,Atalanta,21.0,2.0,0.0,4.0,11.0,1.0,58.7,27.0,12.0,0.4,0.0,0.0,442.0,518.0,0.9,5.0,21.0,0.2,39.0,21.0,0.5,8.0,10.0,18.0,0.6,13.0,7.0,7.0,582990,2021-01-09 14:00:00,2021
Genoa,11.0,2.0,0.0,2.0,1.0,3.0,35.5,10.0,7.0,0.7,0.0,0.0,220.0,337.0,0.7,2.0,6.0,0.3,60.0,23.0,0.4,1.0,14.0,28.0,0.5,9.0,31.0,31.0,Bologna,9.0,0.0,0.0,1.0,4.0,5.0,64.5,14.0,3.0,0.2,0.0,0.0,498.0,599.0,0.8,4.0,24.0,0.2,53.0,28.0,0.5,4.0,8.0,19.0,0.4,12.0,9.0,9.0,582991,2021-01-09 17:00:00,2021
AC Milan,22.0,6.0,0.0,1.0,7.0,2.0,46.7,8.0,4.0,0.5,1.0,1.0,336.0,403.0,0.8,0.0,18.0,0.0,44.0,22.0,0.5,2.0,14.0,20.0,0.7,3.0,18.0,18.0,Torino,15.0,2.0,0.0,1.0,5.0,2.0,53.3,9.0,1.0,0.1,0.0,0.0,392.0,464.0,0.8,3.0,20.0,0.2,55.0,33.0,0.6,4.0,8.0,18.0,0.4,3.0,18.0,18.0,582999,2021-01-09 19:45:00,2021
AS Roma,18.0,3.0,0.0,1.0,3.0,4.0,50.4,14.0,8.0,0.6,0.0,0.0,482.0,544.0,0.9,5.0,15.0,0.3,35.0,16.0,0.5,4.0,6.0,10.0,0.6,16.0,15.0,15.0,Internazionale,11.0,3.0,0.0,2.0,7.0,6.0,49.6,17.0,6.0,0.4,0.0,0.0,448.0,526.0,0.9,9.0,16.0,0.6,31.0,14.0,0.5,4.0,11.0,19.0,0.6,6.0,19.0,19.0,582994,2021-01-10 11:30:00,2021
Parma,11.0,4.0,0.0,0.0,5.0,3.0,46.7,10.0,3.0,0.3,0.0,0.0,386.0,466.0,0.8,1.0,13.0,0.1,61.0,38.0,0.6,5.0,5.0,7.0,0.7,17.0,22.0,22.0,Lazio,7.0,1.0,0.0,5.0,6.0,3.0,53.3,21.0,5.0,0.2,0.0,0.0,443.0,522.0,0.8,8.0,24.0,0.3,42.0,19.0,0.5,6.0,15.0,25.0,0.6,15.0,16.0,16.0,582995,2021-01-10 14:00:00,2021
Hellas Verona,16.0,3.0,0.0,1.0,6.0,1.0,43.0,13.0,6.0,0.5,0.0,0.0,225.0,329.0,0.7,4.0,25.0,0.2,60.0,17.0,0.3,2.0,6.0,10.0,0.6,6.0,13.0,13.0,Crotone,16.0,3.0,0.0,0.0,4.0,4.0,57.0,9.0,2.0,0.2,0.0,0.0,343.0,450.0,0.8,2.0,14.0,0.1,50.0,23.0,0.5,4.0,13.0,17.0,0.8,9.0,18.0,18.0,582993,2021-01-10 14:00:00,2021
Udinese,19.0,3.0,0.0,0.0,2.0,4.0,37.1,17.0,8.0,0.5,0.0,0.0,318.0,394.0,0.8,2.0,8.0,0.3,35.0,15.0,0.4,1.0,9.0,16.0,0.6,14.0,17.0,17.0,Napoli,6.0,1.0,0.0,1.0,7.0,7.0,62.9,17.0,6.0,0.4,1.0,1.0,594.0,665.0,0.9,3.0,20.0,0.2,39.0,31.0,0.8,4.0,2.0,9.0,0.2,7.0,11.0,11.0,582996,2021-01-10 14:00:00,2021
Fiorentina,15.0,1.0,0.0,4.0,9.0,2.0,51.6,14.0,4.0,0.3,0.0,0.0,358.0,433.0,0.8,6.0,34.0,0.2,54.0,29.0,0.5,3.0,13.0,24.0,0.5,12.0,17.0,17.0,Cagliari,14.0,3.0,0.0,1.0,5.0,3.0,48.4,9.0,2.0,0.2,0.0,1.0,335.0,419.0,0.8,4.0,18.0,0.2,42.0,22.0,0.5,3.0,5.0,15.0,0.3,11.0,27.0,27.0,582992,2021-01-10 17:00:00,2021
Juventus,11.0,4.0,0.0,0.0,6.0,1.0,55.4,23.0,8.0,0.3,0.0,0.0,573.0,623.0,0.9,5.0,21.0,0.2,24.0,17.0,0.7,6.0,5.0,15.0,0.3,11.0,8.0,8.0,Sassuolo,3.0,1.0,1.0,1.0,3.0,5.0,44.6,10.0,2.0,0.2,0.0,0.0,449.0,509.0,0.9,1.0,12.0,0.1,43.0,26.0,0.6,2.0,12.0,17.0,0.7,12.0,18.0,18.0,582998,2021-01-10 19:45:00,2021
Spezia,16.0,4.0,0.0,4.0,4.0,2.0,56.4,9.0,4.0,0.4,1.0,1.0,404.0,516.0,0.8,8.0,17.0,0.5,103.0,55.0,0.5,3.0,10.0,18.0,0.6,12.0,20.0,20.0,Sampdoria,16.0,3.0,0.0,0.0,2.0,2.0,43.6,6.0,3.0,0.5,0.0,0.0,272.0,390.0,0.7,3.0,20.0,0.2,64.0,25.0,0.4,1.0,14.0,19.0,0.7,7.0,13.0,13.0,582997,2021-01-11 19:45:00,2021
Lazio,12.0,5.0,0.0,4.0,1.0,2.0,39.8,8.0,8.0,1.0,0.0,0.0,321.0,395.0,0.8,0.0,7.0,0.0,64.0,38.0,0.6,0.0,10.0,12.0,0.8,14.0,22.0,22.0,AS Roma,19.0,4.0,0.0,2.0,8.0,5.0,60.2,6.0,1.0,0.2,0.0,0.0,492.0,583.0,0.8,7.0,22.0,0.3,53.0,25.0,0.5,1.0,3.0,11.0,0.3,10.0,11.0,11.0,582987,2021-01-15 19:45:00,2021
Bologna,15.0,2.0,0.0,1.0,7.0,1.0,48.1,20.0,5.0,0.3,1.0,1.0,321.0,433.0,0.7,6.0,19.0,0.3,55.0,22.0,0.4,7.0,9.0,18.0,0.5,14.0,10.0,10.0,Hellas Verona,10.0,1.0,0.0,1.0,3.0,4.0,51.9,8.0,1.0,0.1,0.0,0.0,364.0,473.0,0.8,3.0,16.0,0.2,50.0,19.0,0.4,1.0,9.0,15.0,0.6,15.0,22.0,22.0,582983,2021-01-16 14:00:00,2021
Torino,12.0,3.0,0.0,6.0,6.0,3.0,66.6,10.0,1.0,0.1,0.0,0.0,538.0,611.0,0.9,8.0,21.0,0.4,59.0,45.0,0.8,3.0,7.0,11.0,0.6,11.0,8.0,8.0,Spezia,14.0,4.0,1.0,0.0,2.0,1.0,33.4,6.0,3.0,0.5,0.0,0.0,229.0,307.0,0.7,1.0,7.0,0.1,68.0,31.0,0.5,1.0,11.0,23.0,0.5,7.0,18.0,18.0,582988,2021-01-16 17:00:00,2021
Sampdoria,8.0,1.0,0.0,3.0,11.0,4.0,54.0,15.0,6.0,0.4,1.0,1.0,386.0,456.0,0.8,4.0,30.0,0.1,54.0,32.0,0.6,7.0,6.0,12.0,0.5,10.0,21.0,21.0,Udinese,11.0,1.0,0.0,4.0,5.0,4.0,46.0,15.0,4.0,0.3,0.0,0.0,311.0,390.0,0.8,4.0,22.0,0.2,37.0,17.0,0.5,6.0,9.0,13.0,0.7,13.0,23.0,23.0,582989,2021-01-16 19:45:00,2021
