event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
401875550,2026-11-08 14:30:00,2026,152,139,Twente,Ajax,,,pre
401875549,2026-11-08 14:30:00,2026,153,147,Utrecht,NEC,,,pre
401875548,2026-11-08 16:45:00,2026,140,145,AZ Alkmaar,Groningen,,,pre
401875547,2026-11-21 21:00:00,2026,139,2726,Ajax,ADO Den Haag,,,pre
401875546,2026-11-21 21:00:00,2026,145,146,Groningen,Heerenveen,,,pre
401875545,2026-11-21 21:00:00,2026,152,156,Twente,Willem II,,,pre
401875544,2026-11-21 21:00:00,2026,153,3736,Utrecht,SC Cambuur,,,pre
401875543,2026-11-21 21:00:00,2026,142,2566,Feyenoord,Excelsior,,,pre
401875542,2026-11-21 21:00:00,2026,3706,143,Go Ahead Eagles,Fortuna Sittard,,,pre
401875541,2026-11-21 21:00:00,2026,147,148,NEC,PSV,,,pre
401875540,2026-11-21 21:00:00,2026,151,140,Sparta Rotterdam,AZ Alkmaar,,,pre
401875539,2026-11-21 21:00:00,2026,3735,2565,Telstar,PEC Zwolle,,,pre
401875531,2026-11-28 21:00:00,2026,148,3706,PSV,Go Ahead Eagles,,,pre
401875532,2026-11-28 21:00:00,2026,2565,140,PEC Zwolle,AZ Alkmaar,,,pre
401875530,2026-11-28 21:00:00,2026,3736,151,SC Cambuur,Sparta Rotterdam,,,pre
401875533,2026-11-28 21:00:00,2026,147,152,NEC,Twente,,,pre
401875535,2026-11-28 21:00:00,2026,142,139,Feyenoord,Ajax,,,pre
401875536,2026-11-28 21:00:00,2026,145,156,Groningen,Willem II,,,pre
401875537,2026-11-28 21:00:00,2026,2566,3735,Excelsior,Telstar,,,pre
401875538,2026-11-28 21:00:00,2026,2726,153,ADO Den Haag,Utrecht,,,pre
401875534,2026-11-28 21:00:00,2026,143,146,Fortuna Sittard,Heerenveen,,,pre
401875521,2026-12-05 21:00:00,2026,156,142,Willem II,Feyenoord,,,pre
401875522,2026-12-05 21:00:00,2026,3735,145,Telstar,Groningen,,,pre
401875524,2026-12-05 21:00:00,2026,146,3736,Heerenveen,SC Cambuur,,,pre
401875525,2026-12-05 21:00:00,2026,3706,152,Go Ahead Eagles,Twente,,,pre
401875523,2026-12-05 21:00:00,2026,151,147,Sparta Rotterdam,NEC,,,pre
401875527,2026-12-05 21:00:00,2026,140,148,AZ Alkmaar,PSV,,,pre
401875528,2026-12-05 21:00:00,2026,139,153,Ajax,Utrecht,,,pre
401875529,2026-12-05 21:00:00,2026,2726,2566,ADO Den Haag,Excelsior,,,pre
401875526,2026-12-05 21:00:00,2026,143,2565,Fortuna Sittard,PEC Zwolle,,,pre
401875514,2026-12-12 21:00:00,2026,148,3735,PSV,Telstar,,,pre
401875520,2026-12-12 21:00:00,2026,139,3736,Ajax,SC Cambuur,,,pre
401875519,2026-12-12 21:00:00,2026,140,147,AZ Alkmaar,NEC,,,pre
401875518,2026-12-12 21:00:00,2026,145,142,Groningen,Feyenoord,,,pre
401875517,2026-12-12 21:00:00,2026,152,151,Twente,Sparta Rotterdam,,,pre
401875516,2026-12-12 21:00:00,2026,153,143,Utrecht,Fortuna Sittard,,,pre
401875513,2026-12-12 21:00:00,2026,146,3706,Heerenveen,Go Ahead Eagles,,,pre
401875515,2026-12-12 21:00:00,2026,2565,2566,PEC Zwolle,Excelsior,,,pre
401875512,2026-12-12 21:00:00,2026,156,2726,Willem II,ADO Den Haag,,,pre
401875506,2026-12-19 21:00:00,2026,147,2726,NEC,ADO Den Haag,,,pre
401875505,2026-12-19 21:00:00,2026,148,2565,PSV,PEC Zwolle,,,pre
401875507,2026-12-19 21:00:00,2026,3706,139,Go Ahead Eagles,Ajax,,,pre
401875504,2026-12-19 21:00:00,2026,3736,145,SC Cambuur,Groningen,,,pre
401875509,2026-12-19 21:00:00,2026,142,152,Feyenoord,Twente,,,pre
401875510,2026-12-19 21:00:00,2026,153,146,Utrecht,Heerenveen,,,pre
401875511,2026-12-19 21:00:00,2026,2566,140,Excelsior,AZ Alkmaar,,,pre
401875508,2026-12-19 21:00:00,2026,143,151,Fortuna Sittard,Sparta Rotterdam,,,pre
401875503,2026-12-19 21:00:00,2026,3735,156,Telstar,Willem II,,,pre
